@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,13-15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.386617,0.423077,0.53125,0.517241,0.538462,0.846154,0
0.345725,0.461538,0.71875,0.517241,0.615385,0.615385,0
0.449814,0.423077,0.46875,0.448276,0.538462,0.769231,0
0.966543,0.461538,0.78125,0.517241,0.5,0.846154,0
0.910781,0.615385,0.78125,0.689655,0.576923,0.615385,0
0.390335,0.615385,0.53125,0.448276,0.538462,0.538462,0
0.840149,0.538462,0.71875,0.62069,0.461538,0.615385,0
0.342007,0.461538,0.4375,0.172414,0.461538,0.692308,0
0.215613,0.576923,0.65625,0.344828,0.615385,0.692308,0
0.672862,0.423077,0.6875,0.241379,0.5,0.307692,0
0.936803,0.461538,0.71875,0.344828,0.5,0.538462,0
0.832714,0.615385,1,0.965517,0.384615,0.692308,0
0.442379,0.384615,0.625,0.241379,0.615385,0.461538,0
0.892193,0.538462,0.75,0.344828,0.576923,0.769231,0
0.464684,0.307692,0.46875,0.172414,0.538462,0.692308,0
0.665428,0.423077,0.78125,0.793103,0.576923,0.615385,0
0.94052,0.538462,0.71875,0.62069,0.615385,0.692308,0
0.64684,0.653846,0.78125,0.448276,0.5,0.461538,0
0.442379,0.461538,0.5,0.172414,0.576923,0.615385,0
0.453532,0.5,0.65625,0.241379,0.576923,0.384615,0
0.635688,0.307692,0.75,0.241379,0.576923,0.692308,0
0.319703,0.769231,0.53125,0.517241,0.576923,0.307692,0
0.408922,0.653846,0.53125,0.448276,0.461538,0.230769,0
0.345725,0.461538,0.46875,0.068966,0.576923,0.384615,0
0.36803,0.384615,0.75,0.241379,0.538462,0.615385,0
0.468401,0.538462,0.6875,0.62069,0.653846,0.692308,0
0.609665,0.5,0.59375,0.241379,0.653846,0.461538,0
0.427509,0.576923,0.53125,0.517241,0.807692,0.615385,0
0.390335,0.576923,0.53125,0.172414,0.5,0.769231,0
0.565056,0.653846,0.5,0.448276,0.653846,0.461538,0
0.483271,0.576923,0.53125,0.241379,0.615385,0.692308,0
0.628253,0.423077,0.46875,0,0.653846,0.692308,0
0.672862,0.5,0.375,0.172414,0.423077,0.615385,0
0.315985,0.615385,0.5,0.448276,0.423077,0.615385,0
0.572491,0.576923,0.34375,0.344828,0.346154,0.615385,0
0.33829,0.576923,0.625,0.517241,0.423077,0.846154,0
