@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4.01,944,2.48,10,270,190,0.922932
4,955,2.58,15,240,180,0.881826
4.01,957,2.5,15,260,190,0.936346
4.025,955,2.34,12,280,170,0.931951
4.01,947,2.5,10,265,190,0.92209
4,947,2.56,15,250,190,0.893289
4.01,938,2.46,10,265,230,0.938825
4,952,2.7,20,240,210,0.901432
4,950,2.54,25,255,190,0.918907
4,943,0,25,235,160,0.910935
4,951,2.58,25,235,190,0.917076
4.01,949,2.52,15,270,180,0.934301
4.01,951,2.48,10,260,180,0.934619
4,947,2.64,25,230,210,0.917006
4,949,2.5,20,260,190,0.914447
4,953,2.3,15,250,180,0.891381
4.01,948,2.56,10,250,180,0.93709
4,947,2.58,20,260,200,0.911009
4.002,945,2.62,5,240,200,0.920582
4,947,2.64,25,245,210,0.906158
4.01,954,2.48,15,260,210,0.939241
4,948,2.58,25,245,160,0.914663
4,947,2.5,10,250,160,0.899722
4,946,2.6,15,250,210,0.896375
4,949,2.62,15,235,180,0.898935
4,948,2.58,10,265,140,0.891671
4.01,935,2.52,0,270,190,0.936088
4,947,2.6,15,260,210,0.884617
4,952,2.58,25,240,150,0.909745
4,947,2.64,25,245,210,0.902864
4,945,2.26,5,230,190,0.893581
4.01,954,2.52,15,245,180,0.873135
4,955,2.56,25,260,180,0.915721
4,948,2.58,20,255,180,0.900285
4.01,949,2.46,0,285,210,0.938907
4.025,955,2.34,12,275,180,0.937187
4,948,2.56,20,280,180,0.896493
4.01,951,2.46,15,265,210,0.935526
4,949,2.66,25,255,200,0.917187
4,940,2.6,20,250,200,0.895972
3.995,952,2.58,20,265,210,0.900465
4.015,949,2.6,10,270,200,0.934925
4.01,949,2.5,10,255,190,0.939814
4.01,944,2.56,10,245,200,0.930935
3.995,953,2.64,20,250,200,0.916346
4,949,2.62,25,260,160,0.914619
4.01,949,2.48,10,245,200,0.920193
4.01,951,0,15,260,170,0.934254
4.01,946,2.46,10,250,190,0.924351
4,949,2.54,5,250,200,0.929259
4,951,2.62,15,255,190,0.877216
4.01,949,2.52,10,260,200,0.927704
4,948,2.56,20,230,180,0.912252
4,946,2.54,20,240,220,0.900945
4,951,2.64,25,235,160,0.914925
4,950,2.54,25,235,180,0.914254
4,951,2.1,10,230,180,0.899357
4,948,2.5,10,250,210,0.874398
4.01,948,2.48,10,250,190,0.920285
4,952,2.64,25,260,200,0.918376
4,940,2.54,20,245,190,0.907062
4,948,2.48,20,250,230,0.900582
4,947,2.1,0,245,190,0.932252
4,952,2.56,25,255,180,0.905499
4,948,2.58,15,260,210,0.870135
4,943,2.56,25,245,180,0.914301
4,949,2.46,20,230,180,0.900193
4.01,948,2.54,25,265,190,0.913547
4.005,954,2.62,20,250,180,0.917987
4,954,2.62,20,250,190,0.908216
4,949,2.58,15,260,200,0.891929
4.01,952,2.48,15,255,210,0.937315
4,944,2.58,15,245,200,0.898237
4,948,2.6,20,260,200,0.910028
4,948,2.54,10,260,210,0.939431
4,951,2.66,25,250,180,0.903406
4,947,2.46,20,240,220,0.90143
4,947,2.58,10,265,150,0.933846
4,954,2.56,15,265,200,0.895167
4,946,2.58,0,265,210,0.932748
4,954,2.68,10,235,150,0.880163
4,947,2.62,20,245,210,0.906183
4.025,956,2.34,10,280,200,0.926664
4,949,2.1,0,235,180,0.920945
4,947,2.56,15,230,180,0.893139
4,955,2.46,25,245,180,0.901661
4,954,2.46,25,240,210,0.913846
4,956,2.58,25,240,190,0.904225
4.005,954,2.6,14,260,150,0.880453
4,951,2.54,20,245,210,0.916088
4,955,2.58,20,270,190,0.918825
4,952,2.62,25,250,160,0.909242
4,951,2.5,10,265,190,0.934447
4.01,950,2.48,10,260,200,0.935721
3.995,948,2.46,20,255,220,0.919814
4.01,947,2.56,0,265,220,0.933547
4,940,2.38,5,235,180,0.895614
4,951,2.46,15,240,170,0.874297
3.995,946,2.5,20,260,170,0.886402
3.995,949,2.58,15,270,170,0.874018
4.01,954,2.5,20,255,190,0.90209
4,950,2.62,10,240,160,0.887926
4.01,951,2.54,15,230,150,0.872145
3.998,947,2.58,15,270,180,0.894519
4,948,2.3,20,240,220,0.919241
4,945,2.42,10,235,180,0.876527
4.019,949,2.6,10,265,230,0.934486
4.01,950,2.46,15,265,200,0.92143
3.995,952,2.5,25,245,200,0.910534
4,949,2.62,25,230,170,0.917662
4,953,2.62,25,245,200,0.917057
4.01,943,2.54,15,250,220,0.921432
4,955,2.56,20,250,180,0.915526
4,945,2.42,5,250,140,0.888377
4.01,950,2.62,15,250,220,0.922578
4,943,2.72,25,240,220,0.91709
4,944,2.54,20,240,200,0.901042
4,945,2.5,15,250,210,0.89836
4,954,2.6,14,265,200,0.873867
4,941,2.42,0,250,200,0.929673
4,946,2.58,15,250,200,0.872492
4.01,947,2.52,15,270,170,0.939571
4,952,2.46,20,225,190,0.919869
4.004,955,2.52,15,240,150,0.899545
4,956,2.64,25,260,190,0.919782
4.01,946,2.48,10,260,190,0.939839
4.01,950,2.56,10,260,200,0.934663
4.01,943,2.48,15,250,210,0.939782
4,952,2.66,25,260,190,0.902932
4,950,2.5,10,265,210,0.929745
4,943,2.72,25,240,220,0.917315
4.01,949,2.48,10,245,180,0.924811
4.007,955,2.6,14,270,220,0.928216
4.03,953,2.34,8,275,220,0.939385
4,950,2.56,15,260,180,0.870697
4,949,2.54,25,250,190,0.915426
4,955,2.48,20,255,220,0.910632
3.995,949,2.46,20,250,180,0.907884
4,950,2.62,25,250,210,0.919385
4.027,952,2.34,10,270,200,0.924225
4,946,2.54,25,240,210,0.916778
4,941,2.52,20,250,190,0.870427
4.01,950,2.48,10,265,210,0.939869
4.01,939,2.46,10,265,210,0.937662
4,952,2.66,25,230,150,0.912503
4.025,957,2.58,12,265,130,0.937987
4,946,2.64,25,250,210,0.910037
4.01,951,2.6,10,270,180,0.929242
4.025,956,2.6,14,270,200,0.931009
4.01,952,2.56,20,245,220,0.919697
4,953,2.64,25,250,210,0.917485
4,953,2.66,25,260,200,0.90009
4.025,956,2.34,12,265,200,0.937076
4,949,2.5,20,245,210,0.915349
4,946,2.5,20,265,190,0.895635
4,948,2.5,10,255,160,0.885801
4,952,2.52,20,250,180,0.905544
4.01,945,2.56,10,255,180,0.93929
4,951,2.66,25,245,190,0.90358
4,951,2.1,20,240,200,0.906775
4,947,2.56,15,235,190,0.875109
3.995,944,2.52,15,260,210,0.883889
4,952,2.64,25,235,150,0.912748
4,946,2.58,20,240,200,0.900074
4.01,950,2.54,15,260,190,0.927062
4,951,2.56,20,240,220,0.907077
4,947,2.56,20,230,180,0.909259
4.01,955,2.56,20,250,180,0.906968
4.01,948,2.46,10,265,170,0.926775
4.01,947,2.48,15,260,180,0.939439
4,945,2.54,25,230,180,0.902679
4,947,2.58,20,240,210,0.919439
4,943,2.64,10,260,170,0.899146
4.01,948,2.56,10,260,200,0.92009
4,955,2.58,25,245,200,0.907704
4,953,2.62,25,230,170,0.902578
4,941,2.5,15,235,130,0.895781
4,953,2.6,14,265,200,0.892387
4.01,950,2.56,10,255,150,0.939697
4,948,2.5,20,250,200,0.905111
4,947,2.54,15,250,180,0.888754
4.01,952,2.46,10,250,220,0.923406
4.025,957,2.6,14,265,210,0.922679
4.01,950,2.46,10,265,180,0.926968
