@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,13-15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4.007,949,2.62,23,260,160,95.094002
4.028,949,2.58,7,260,200,91.503998
4.03,951,2.48,7,260,180,88.528
4.002,949,2.48,13,245,180,88.483002
3.885,946,2.58,2,265,210,94.906998
4.004,952,2.58,31,240,200,88.800003
3.995,951,2.62,18,255,190,92.017998
4.018,950,2.46,7,240,160,95.191002
4.061,956,2.6,15,270,200,91.503998
3.979,952,2.64,18,235,150,89.624001
4.026,950,2.6,11,255,220,91.550003
4.016,955,2.34,15,280,170,88.392998
4.049,956,2.34,10,280,200,91.457001
4.021,949,2.52,10,260,200,91.737
4.04,950,2.62,10,240,160,88.800003
4.002,950,2.56,5,255,150,92.762001
4.003,947,2.58,13,260,200,91.924004
4.002,952,2.54,20,235,150,88.800003
4.003,950,2.56,5,240,160,92.112
4.025,938,2.46,3,265,230,91.737
4.002,948,2.56,15,270,200,95.142998
4.035,954,2.44,9,265,210,91.567001
4.02,950,2.62,20,250,220,88.753998
4.038,953,2.5,20,240,210,88.619003
4.086,944,2.48,10,270,190,88.573997
3.991,955,2.58,31,245,200,88.922997
4.001,952,2.56,28,245,220,88.664001
3.998,952,2.5,13,245,200,88.619003
4.008,947,2.5,7,265,210,88.775002
4.005,951,2.56,26,250,200,92.017998
4.017,944,2.56,5,245,200,91.830002
3.998,955,2.58,26,270,190,91.924004
3.998,945,2.56,5,255,180,85.716003
4.098,955,2.52,10,240,150,88.528
3.996,946,2.6,9,250,210,88.573997
3.995,947,2.5,2,265,190,88.528
4.009,951,2.24,2,280,190,91.737
4.012,955,2.6,7,270,220,91.503998
4.026,951,2.46,7,265,210,91.690002
4.008,949,2.5,7,255,190,85.410004
3.984,950,2.5,7,265,210,92.017998
4,944,2.58,10,245,200,92.017998
4.007,941,2.52,10,230,180,85.584999
4.009,954,2.6,9,265,200,91.695
4.006,952,2.56,28,255,180,91.971001
4.026,949,2.6,6,270,200,88.392998
4.016,953,2.62,13,230,170,88.800003
3.999,948,2.5,7,250,210,88.845001
4.003,950,2.56,13,260,180,92.017998
4.046,946,2.5,16,260,170,85.584999
4.012,952,2.66,26,260,190,91.876999
4.009,952,2.58,23,265,210,91.783997
3.995,949,2.62,7,235,180,88.845001
4.027,950,2.56,7,260,200,88.664001
4.01,957,2.5,13,260,190,88.664001
4.006,954,2.52,10,245,180,88.753998
4.009,943,0,13,235,160,85.671997
4.009,949,2.5,10,265,210,88.845001
4.01,953,2.62,18,250,200,85.584999
4.039,954,2.5,23,255,190,85.497002
4.039,947,2.54,9,250,180,88.471001
4.048,952,2.66,15,230,150,91.971001
4.003,954,2.62,7,250,190,88.922997
4.011,949,2.5,5,265,180,88.969002
3.998,955,2.56,20,250,180,88.753998
4.041,949,2.56,18,250,180,88.709
3.999,947,2.56,10,250,190,88.800003
4.028,957,2.58,15,265,130,91.550003
4.041,957,2.6,19,265,210,91.550003
4.007,947,2.5,5,250,160,88.906998
4.01,947,2.46,5,270,200,88.619003
3.999,947,2.6,9,260,210,91.457001
4.009,947,2.52,13,270,170,91.690002
3.992,951,2.5,5,265,190,91.971001
4.032,948,2.46,15,255,220,85.528999
4.04,949,2.52,15,270,180,91.690002
4.072,949,2.46,5,260,190,85.410004
4,949,2.54,10,250,200,88.348
4.002,948,2.56,1,260,200,92.017998
4.024,950,2.46,10,265,200,91.690002
4.019,950,2.46,10,265,180,88.528
3.996,952,2.58,26,240,150,88.800003
3.999,953,2.6,10,265,200,92.579002
3.997,951,2.64,18,235,160,88.845001
4.031,948,2.58,18,245,160,85.627998
4.026,953,2.64,23,250,200,88.528
4.001,951,2.58,26,275,180,91.924004
4.074,948,2.46,3,265,170,88.573997
4.028,955,2.34,10,275,180,91.457001
3.997,948,2.54,2,260,210,85.193001
4.005,952,2.48,10,255,210,91.737
3.997,947,2.1,0,245,190,92.017998
3.99,946,2.54,18,240,210,88.800003
4.009,952,2.24,10,260,130,94.900002
4.046,952,2.5,22,245,200,88.619003
4.012,947,2.58,9,270,180,91.503998
3.996,954,2.62,13,250,180,89.188004
4.019,946,2.46,5,250,190,91.690002
4.026,945,2.54,10,230,180,88.845001
4.019,955,2.46,20,245,180,88.800003
4.008,948,2.56,2,250,180,91.924004
4.009,954,2.56,13,265,200,95.142998
3.997,947,2.62,15,260,190,95.094002
3.999,949,2.5,15,260,190,91.876999
4.053,949,2.48,2,245,200,91.690002
4,943,2.56,15,245,180,91.924004
4.031,947,2.58,2,265,150,92.443001
4.006,944,2.58,6,265,200,88.348
3.992,948,2.5,5,255,160,91.971001
4.033,951,0,10,260,170,94.900002
3.991,947,2.64,15,245,210,88.845001
3.985,947,2.56,7,230,180,91.971001
3.997,954,2.54,11,250,190,85.209
3.995,953,2.66,23,260,200,91.924004
4.02,952,2.34,9,270,200,88.348
4.008,938,2.52,3,265,190,91.737
4.044,949,2.46,3,285,210,88.573997
4.055,949,2.58,10,270,170,91.643997
4.007,947,2.46,13,240,220,85.671997
4.026,948,2.48,7,250,190,88.573997
4.008,946,2.58,10,250,200,91.971001
4.021,955,2.56,31,250,180,91.876999
4.014,951,2.1,5,230,180,92.158997
4.05,948,2.58,3,265,140,91.503998
3.989,949,2.66,20,255,200,92.146004
4.032,950,2.52,7,245,170,91.690002
3.998,949,2.56,13,230,160,92.035004
4.034,943,2.72,20,240,220,88.800003
4.003,948,2.56,13,230,180,91.924004
4.012,951,2.66,33,245,190,91.971001
4.006,952,2.52,15,245,200,91.783997
4.025,956,2.34,11,265,200,88.348
4.017,950,2.48,10,260,200,88.528
4.004,951,2.46,10,240,170,91.971001
4.002,949,2.64,18,255,220,91.643997
4.018,950,2.48,13,265,210,91.783997
4.034,943,2.72,20,240,220,88.800003
4.029,944,2.52,9,260,210,94.358002
3.998,949,2.46,15,230,180,91.971001
3.994,954,2.46,15,240,210,92.017998
4.013,939,2.46,2,265,210,91.643997
3.999,949,2.54,23,250,190,88.800003
3.996,950,2.54,23,235,180,88.845001
4.057,956,2.58,31,240,190,88.845001
3.993,950,2.66,20,250,190,91.924004
4.008,950,2.54,26,255,190,91.876999
4.003,952,2.46,11,250,220,88.573997
3.994,948,2.58,23,255,180,95.225998
4.048,949,2.46,13,250,180,85.410004
3.993,948,2.58,11,260,210,91.643997
4.042,951,2.58,13,235,190,88.753998
4.024,954,2.48,16,260,210,93.095001
4.027,949,2.6,13,265,230,91.597
4.027,947,2.56,0,265,220,91.737
4.035,935,2.52,0,270,190,91.737
3.989,955,2.6,15,270,220,92.681
4.031,951,2.6,5,270,180,91.550003
4.004,951,2.54,13,230,150,91.830002
3.993,955,2.56,20,260,180,91.971001
4.018,950,2.6,10,270,210,91.550003
4.004,952,2.54,18,260,190,91.830002
4.018,954,2.6,13,260,150,91.503998
4.001,949,2.64,16,240,170,88.528
4.004,952,2.46,20,225,190,88.845001
3.994,949,2.62,20,230,170,92.017998
4.006,946,2.48,5,260,190,91.672997
3.991,951,2.66,18,250,180,92.017998
4.025,953,2.34,7,275,220,91.503998
4.011,950,2.54,15,260,190,88.664001
3.991,949,2.1,0,235,180,92.017998
4.011,948,2.3,18,240,220,88.753998
3.985,954,2.68,15,235,150,94.757004
4.002,949,2.6,20,245,220,85.716003
3.846,941,2.5,18,235,130,90.246002
4.003,948,2.54,20,265,190,85.760002
3.996,943,2.54,15,250,220,88.890999
4.016,951,2.54,20,245,210,85.627998
4.015,954,2.7,23,240,220,85.627998
4.059,943,2.64,5,260,170,91.971001
4.004,940,2.6,20,250,200,91.971001
4.022,952,2.62,10,250,160,88.845001
3.985,953,2.62,20,245,200,88.800003
4.025,946,2.64,26,250,210,85.891998
4.041,946,2.62,26,245,190,85.643997
4.09,945,2.42,13,250,140,91.971001
4.07,945,2.62,10,240,200,88.890999
4.084,950,2.62,18,250,210,88.845001
4.026,939,2.52,15,245,200,91.971001
4.027,940,2.54,20,245,190,88.753998
4.004,945,2.42,7,235,180,85.627998
4.001,946,2.5,20,265,190,88.982002
4.001,946,2.54,20,240,220,88.800003
4.013,952,2.7,33,240,210,91.971001
4.022,945,0,13,240,220,89.027
4.026,941,2.42,0,250,200,92.017998
4.009,948,2.48,13,250,230,92.017998
3.994,940,2.48,20,260,180,88.753998
4.011,949,2.54,23,240,210,92.065002
3.995,947,2.58,20,240,210,88.753998
3.991,956,2.64,39,260,190,91.971001
4.009,947,2.56,15,230,180,85.627998
4.058,947,2.48,15,260,180,85.671997
4.023,949,2.5,20,245,210,88.800003
3.884,948,2.6,18,260,200,93.780998
3.989,948,2.5,20,250,200,92.017998
4.002,953,2.3,5,250,180,91.971001
4.003,942,0,15,240,220,85.671997
4.018,947,2.62,10,245,210,92.017998
4.044,949,2.54,18,250,210,85.716003
4.013,944,2.54,20,240,200,88.800003
4.01,946,2.48,15,260,190,88.845001
4.028,945,2.5,13,250,210,85.848
4.025,941,2.52,20,250,190,88.753998
4.037,955,2.58,15,240,180,92.065002
3.991,947,2.58,18,245,180,88.800003
3.998,951,2.56,18,240,220,88.800003
4.028,947,2.6,20,250,170,91.971001
4.007,940,2.38,5,235,180,85.627998
4.012,947,2.64,23,230,210,89.117996
4.014,945,2.26,0,230,190,91.971001
4,943,2.48,13,250,210,88.845001
3.986,946,2.58,20,240,200,88.800003
3.986,947,2.64,23,245,210,89.027
4.058,955,2.48,18,255,220,92.065002
4.061,952,2.64,15,260,200,92.017998
4.048,952,2.52,10,250,180,91.971001
3.998,950,2.52,15,245,210,88.753998
4.034,948,2.56,10,280,180,91.924004
3.98,953,2.64,39,250,210,92.065002
4.009,947,2.56,13,235,190,85.627998
4.003,945,2.6,18,245,230,85.671997
4.035,955,2.56,15,250,210,95.191002
4.034,953,2.62,26,240,180,88.845001
4.007,944,2.48,15,260,200,85.716003
4.037,947,2.52,20,245,200,91.924004
3.984,950,2.3,20,245,210,88.753998
4.039,947,2.38,13,235,180,88.753998
4.016,950,2.52,18,245,200,88.800003
4.044,943,2.62,7,240,220,88.800003
4.059,956,2.56,20,240,130,88.800003
3.983,952,2.68,36,255,190,92.065002
4.001,947,2.52,18,245,190,85.584999
4.034,941,2.52,13,240,180,92.613998
4.006,949,2.3,20,240,190,91.971001
4.007,948,2.62,20,245,190,95.094002
3.986,946,2.5,18,240,210,92.443001
4.018,954,2.62,28,250,200,88.890999
4.008,947,2.74,23,235,210,92.017998
4.024,944,0,20,250,200,92.017998
4.048,948,2.52,20,235,190,91.971001
4.013,940,2.5,20,245,210,91.924004
4.058,953,0,18,250,170,88.982002
3.995,947,2.58,18,240,200,88.845001
4.006,948,2.62,23,245,190,85.627998
4.007,951,2.66,31,240,220,85.671997
3.99,946,2.64,20,255,200,92.017998
3.988,943,2.6,28,245,210,88.753998
4.003,950,2.5,18,250,190,91.971001
4.014,951,2.56,20,250,190,91.971001
