@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,13-15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.633858,0.636364,0.956204,0.589744,0.615385,0.3,0.986844
0.716535,0.636364,0.941606,0.179487,0.615385,0.7,0.629024
0.724409,0.727273,0.905109,0.179487,0.615385,0.5,0.332403
0.614173,0.636364,0.905109,0.333333,0.384615,0.5,0.327918
0.153543,0.5,0.941606,0.051282,0.692308,0.8,0.968205
0.622047,0.772727,0.941606,0.794872,0.307692,0.7,0.359514
0.586614,0.727273,0.956204,0.461538,0.538462,0.6,0.680255
0.677165,0.681818,0.89781,0.179487,0.307692,0.3,0.996512
0.846457,0.954545,0.948905,0.384615,0.769231,0.7,0.629024
0.523622,0.772727,0.963504,0.461538,0.230769,0.2,0.441643
0.708661,0.681818,0.948905,0.282051,0.538462,0.9,0.633609
0.669291,0.909091,0.854015,0.384615,0.923077,0.4,0.318947
0.799213,0.954545,0.854015,0.25641,0.923077,0.7,0.62434
0.688976,0.636364,0.919708,0.25641,0.615385,0.7,0.652248
0.76378,0.681818,0.956204,0.25641,0.307692,0.3,0.359514
0.614173,0.681818,0.934307,0.128205,0.538462,0.2,0.754411
0.61811,0.545455,0.941606,0.333333,0.615385,0.7,0.670887
0.614173,0.772727,0.927007,0.512821,0.230769,0.2,0.359514
0.61811,0.681818,0.934307,0.128205,0.307692,0.3,0.689624
0.704724,0.136364,0.89781,0.076923,0.692308,1,0.652248
0.614173,0.590909,0.934307,0.384615,0.769231,0.7,0.991727
0.744094,0.863636,0.890511,0.230769,0.692308,0.8,0.635304
0.685039,0.681818,0.956204,0.512821,0.461538,0.9,0.354929
0.755906,0.818182,0.912409,0.512821,0.307692,0.8,0.341473
0.944882,0.409091,0.905109,0.25641,0.769231,0.6,0.336988
0.570866,0.909091,0.941606,0.794872,0.384615,0.7,0.371773
0.610236,0.772727,0.934307,0.717949,0.384615,0.9,0.345958
0.598425,0.772727,0.912409,0.333333,0.384615,0.7,0.341473
0.637795,0.545455,0.912409,0.179487,0.692308,0.8,0.357022
0.625984,0.727273,0.934307,0.666667,0.461538,0.7,0.680255
0.673228,0.409091,0.934307,0.128205,0.384615,0.7,0.661517
0.598425,0.909091,0.941606,0.666667,0.769231,0.6,0.670887
0.598425,0.454545,0.934307,0.128205,0.538462,0.5,0.052128
0.992126,0.909091,0.919708,0.25641,0.307692,0.2,0.332403
0.590551,0.5,0.948905,0.230769,0.461538,0.8,0.336988
0.586614,0.545455,0.912409,0.051282,0.692308,0.6,0.332403
0.641732,0.727273,0.817518,0.051282,0.923077,0.6,0.652248
0.653543,0.909091,0.948905,0.179487,0.769231,0.9,0.629024
0.708661,0.727273,0.89781,0.179487,0.692308,0.8,0.647563
0.637795,0.636364,0.912409,0.179487,0.538462,0.6,0.021629
0.543307,0.681818,0.912409,0.179487,0.692308,0.8,0.680255
0.606299,0.409091,0.941606,0.25641,0.384615,0.7,0.680255
0.633858,0.272727,0.919708,0.25641,0.153846,0.5,0.039071
0.641732,0.863636,0.948905,0.230769,0.692308,0.7,0.648061
0.629921,0.772727,0.934307,0.717949,0.538462,0.5,0.675571
0.708661,0.636364,0.948905,0.153846,0.769231,0.7,0.318947
0.669291,0.818182,0.956204,0.333333,0.153846,0.4,0.359514
0.602362,0.590909,0.912409,0.179487,0.461538,0.8,0.363999
0.61811,0.681818,0.934307,0.333333,0.615385,0.5,0.680255
0.787402,0.5,0.912409,0.410256,0.615385,0.4,0.039071
0.653543,0.772727,0.970803,0.666667,0.615385,0.6,0.666202
0.641732,0.772727,0.941606,0.589744,0.692308,0.8,0.656932
0.586614,0.636364,0.956204,0.179487,0.230769,0.5,0.363999
0.712598,0.681818,0.934307,0.179487,0.615385,0.7,0.345958
0.645669,1,0.912409,0.333333,0.615385,0.6,0.345958
0.629921,0.863636,0.919708,0.25641,0.384615,0.5,0.354929
0.641732,0.363636,0,0.333333,0.230769,0.3,0.047742
0.641732,0.636364,0.912409,0.25641,0.692308,0.8,0.363999
0.645669,0.818182,0.956204,0.461538,0.461538,0.7,0.039071
0.759843,0.863636,0.912409,0.589744,0.538462,0.6,0.0303
0.759843,0.545455,0.927007,0.230769,0.461538,0.5,0.326722
0.795276,0.772727,0.970803,0.384615,0.153846,0.2,0.675571
0.61811,0.863636,0.956204,0.179487,0.461538,0.6,0.371773
0.649606,0.636364,0.912409,0.128205,0.692308,0.5,0.376358
0.598425,0.909091,0.934307,0.512821,0.461538,0.5,0.354929
0.767717,0.636364,0.934307,0.461538,0.461538,0.5,0.350444
0.602362,0.545455,0.934307,0.25641,0.461538,0.6,0.359514
0.716535,1,0.941606,0.384615,0.692308,0,0.633609
0.767717,1,0.948905,0.487179,0.692308,0.8,0.633609
0.633858,0.545455,0.912409,0.128205,0.461538,0.3,0.370178
0.645669,0.545455,0.89781,0.128205,0.769231,0.7,0.341473
0.602362,0.545455,0.948905,0.230769,0.615385,0.8,0.62434
0.641732,0.545455,0.919708,0.333333,0.769231,0.4,0.647563
0.574803,0.727273,0.912409,0.128205,0.692308,0.6,0.675571
0.732283,0.590909,0.89781,0.384615,0.538462,0.9,0.033489
0.76378,0.636364,0.919708,0.384615,0.769231,0.5,0.647563
0.889764,0.636364,0.89781,0.128205,0.615385,0.6,0.021629
0.606299,0.636364,0.927007,0.25641,0.461538,0.7,0.314462
0.614173,0.590909,0.934307,0.025641,0.615385,0.7,0.680255
0.700787,0.681818,0.89781,0.25641,0.692308,0.7,0.647563
0.681102,0.681818,0.89781,0.25641,0.692308,0.5,0.332403
0.590551,0.772727,0.941606,0.666667,0.307692,0.2,0.359514
0.602362,0.818182,0.948905,0.25641,0.692308,0.7,0.736171
0.594488,0.727273,0.963504,0.461538,0.230769,0.3,0.363999
0.728346,0.590909,0.941606,0.461538,0.384615,0.3,0.043357
0.708661,0.818182,0.963504,0.589744,0.461538,0.7,0.332403
0.610236,0.727273,0.941606,0.666667,0.846154,0.5,0.670887
0.897638,0.590909,0.89781,0.076923,0.692308,0.4,0.336988
0.716535,0.909091,0.854015,0.25641,0.846154,0.5,0.62434
0.594488,0.590909,0.927007,0.051282,0.615385,0.8,0
0.625984,0.772727,0.905109,0.25641,0.538462,0.8,0.652248
0.594488,0.545455,0.766423,0,0.384615,0.6,0.680255
0.566929,0.5,0.927007,0.461538,0.307692,0.8,0.359514
0.641732,0.772727,0.817518,0.25641,0.615385,0,0.967508
0.787402,0.772727,0.912409,0.564103,0.384615,0.7,0.341473
0.653543,0.545455,0.941606,0.230769,0.769231,0.5,0.629024
0.590551,0.863636,0.956204,0.333333,0.461538,0.5,0.398186
0.681102,0.5,0.89781,0.128205,0.461538,0.6,0.647563
0.708661,0.454545,0.927007,0.25641,0.153846,0.5,0.363999
0.681102,0.909091,0.89781,0.512821,0.384615,0.5,0.359514
0.637795,0.590909,0.934307,0.051282,0.461538,0.5,0.670887
0.641732,0.863636,0.934307,0.333333,0.692308,0.7,0.991727
0.594488,0.545455,0.956204,0.384615,0.615385,0.6,0.986844
0.602362,0.636364,0.912409,0.384615,0.615385,0.6,0.666202
0.814961,0.636364,0.905109,0.051282,0.384615,0.7,0.647563
0.606299,0.363636,0.934307,0.384615,0.384615,0.5,0.670887
0.728346,0.545455,0.941606,0.051282,0.692308,0.2,0.722616
0.629921,0.409091,0.941606,0.153846,0.692308,0.7,0.314462
0.574803,0.590909,0.912409,0.128205,0.538462,0.3,0.675571
0.73622,0.727273,0,0.25641,0.615385,0.4,0.967508
0.570866,0.545455,0.963504,0.384615,0.384615,0.8,0.363999
0.547244,0.545455,0.934307,0.179487,0.153846,0.5,0.675571
0.594488,0.863636,0.927007,0.282051,0.461538,0.6,0.001595
0.586614,0.818182,0.970803,0.589744,0.615385,0.7,0.670887
0.685039,0.772727,0.854015,0.230769,0.769231,0.7,0.314462
0.637795,0.136364,0.919708,0.076923,0.692308,0.6,0.652248
0.779528,0.636364,0.89781,0.076923,1,0.8,0.336988
0.822835,0.636364,0.941606,0.25641,0.769231,0.4,0.642978
0.633858,0.545455,0.89781,0.333333,0.307692,0.9,0.047742
0.708661,0.590909,0.905109,0.179487,0.461538,0.6,0.336988
0.637795,0.5,0.941606,0.25641,0.461538,0.7,0.675571
0.688976,0.909091,0.934307,0.794872,0.461538,0.5,0.666202
0.661417,0.727273,0.766423,0.128205,0.153846,0.5,0.694309
0.80315,0.590909,0.941606,0.076923,0.692308,0.1,0.629024
0.562992,0.636364,0.970803,0.512821,0.538462,0.7,0.693014
0.732283,0.681818,0.919708,0.179487,0.384615,0.4,0.647563
0.598425,0.636364,0.934307,0.333333,0.153846,0.3,0.68195
0.740157,0.363636,0.992701,0.512821,0.307692,0.9,0.359514
0.61811,0.590909,0.934307,0.333333,0.153846,0.5,0.670887
0.653543,0.727273,0.970803,0.846154,0.384615,0.6,0.675571
0.629921,0.772727,0.919708,0.384615,0.384615,0.7,0.656932
0.704724,0.954545,0.854015,0.282051,0.692308,0.7,0.314462
0.673228,0.681818,0.905109,0.25641,0.615385,0.7,0.332403
0.622047,0.727273,0.89781,0.25641,0.307692,0.4,0.675571
0.614173,0.636364,0.963504,0.461538,0.538462,0.9,0.642978
0.677165,0.681818,0.905109,0.333333,0.692308,0.8,0.656932
0.740157,0.363636,0.992701,0.512821,0.307692,0.9,0.359514
0.720472,0.409091,0.919708,0.230769,0.615385,0.8,0.913486
0.598425,0.636364,0.89781,0.384615,0.153846,0.5,0.675571
0.582677,0.863636,0.89781,0.384615,0.307692,0.8,0.680255
0.65748,0.181818,0.89781,0.051282,0.692308,0.8,0.642978
0.602362,0.636364,0.927007,0.589744,0.461538,0.6,0.359514
0.590551,0.681818,0.927007,0.589744,0.230769,0.5,0.363999
0.830709,0.954545,0.941606,0.794872,0.307692,0.6,0.363999
0.57874,0.681818,0.970803,0.512821,0.461538,0.6,0.670887
0.637795,0.681818,0.927007,0.666667,0.538462,0.6,0.666202
0.61811,0.772727,0.89781,0.282051,0.461538,0.9,0.336988
0.582677,0.590909,0.941606,0.589744,0.538462,0.5,1
0.795276,0.636364,0.89781,0.333333,0.461538,0.5,0.021629
0.57874,0.590909,0.941606,0.282051,0.615385,0.8,0.642978
0.771654,0.727273,0.941606,0.333333,0.230769,0.6,0.354929
0.700787,0.863636,0.905109,0.410256,0.615385,0.8,0.787601
0.712598,0.636364,0.948905,0.333333,0.692308,1,0.638294
0.712598,0.545455,0.934307,0,0.692308,0.9,0.652248
0.744094,0,0.919708,0,0.769231,0.6,0.652248
0.562992,0.909091,0.948905,0.384615,0.769231,0.9,0.746337
0.728346,0.727273,0.948905,0.128205,0.769231,0.5,0.633609
0.622047,0.727273,0.927007,0.333333,0.153846,0.2,0.661517
0.57874,0.909091,0.934307,0.512821,0.615385,0.5,0.675571
0.677165,0.681818,0.948905,0.25641,0.769231,0.8,0.633609
0.622047,0.772727,0.927007,0.461538,0.615385,0.6,0.661517
0.677165,0.863636,0.948905,0.333333,0.615385,0.2,0.629024
0.610236,0.636364,0.963504,0.410256,0.307692,0.4,0.332403
0.622047,0.772727,0.89781,0.512821,0.076923,0.6,0.363999
0.582677,0.636364,0.956204,0.512821,0.153846,0.4,0.680255
0.629921,0.5,0.905109,0.128205,0.615385,0.6,0.645868
0.570866,0.727273,0.970803,0.461538,0.461538,0.5,0.680255
0.704724,0.818182,0.854015,0.179487,0.846154,0.9,0.629024
0.649606,0.681818,0.927007,0.384615,0.615385,0.6,0.345958
0.570866,0.636364,0.766423,0,0.230769,0.5,0.680255
0.649606,0.590909,0.839416,0.461538,0.307692,0.9,0.354929
0.547244,0.863636,0.978102,0.384615,0.230769,0.2,0.953255
0.614173,0.636364,0.948905,0.512821,0.384615,0.9,0.052128
0,0.272727,0.912409,0.461538,0.230769,0,0.503638
0.61811,0.590909,0.927007,0.512821,0.692308,0.6,0.056514
0.590551,0.363636,0.927007,0.384615,0.461538,0.9,0.368584
0.669291,0.727273,0.927007,0.512821,0.384615,0.8,0.043357
0.665354,0.863636,0.985401,0.589744,0.307692,0.9,0.043357
0.838583,0.363636,0.963504,0.128205,0.615385,0.4,0.675571
0.622047,0.227273,0.948905,0.512821,0.461538,0.7,0.675571
0.692913,0.772727,0.956204,0.25641,0.461538,0.3,0.363999
0.547244,0.818182,0.956204,0.512821,0.384615,0.7,0.359514
0.704724,0.5,0.963504,0.666667,0.461538,0.8,0.06967
0.767717,0.5,0.956204,0.666667,0.384615,0.6,0.044951
0.96063,0.454545,0.883212,0.333333,0.461538,0.1,0.675571
0.88189,0.454545,0.956204,0.25641,0.307692,0.7,0.368584
0.937008,0.681818,0.956204,0.461538,0.461538,0.8,0.363999
0.708661,0.181818,0.919708,0.384615,0.384615,0.7,0.675571
0.712598,0.227273,0.927007,0.512821,0.384615,0.6,0.354929
0.622047,0.454545,0.883212,0.179487,0.230769,0.5,0.043357
0.610236,0.5,0.912409,0.512821,0.692308,0.6,0.377654
0.610236,0.5,0.927007,0.512821,0.307692,0.9,0.359514
0.65748,0.772727,0.985401,0.846154,0.307692,0.8,0.675571
0.692913,0.454545,0,0.333333,0.307692,0.9,0.382139
0.708661,0.272727,0.883212,0,0.461538,0.7,0.680255
0.641732,0.590909,0.905109,0.333333,0.461538,1,0.680255
0.582677,0.227273,0.905109,0.512821,0.615385,0.5,0.354929
0.649606,0.636364,0.927007,0.589744,0.307692,0.8,0.68494
0.586614,0.545455,0.941606,0.512821,0.307692,0.8,0.354929
0.570866,0.954545,0.963504,1,0.615385,0.6,0.675571
