@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,14-15-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.633858,0.636364,0.956204,0.589744,0.615385,0.3,0.357215
0.716535,0.636364,0.941606,0.179487,0.615385,0.7,0.785739
0.724411,0.727273,0.905109,0.179487,0.615385,0.5,0.357215
0.614173,0.636364,0.905109,0.333333,0.384615,0.5,0.357215
0.153543,0.5,0.941606,0.051282,0.692308,0.8,0.785739
0.622048,0.772727,0.941606,0.794872,0.307692,0.7,0.357215
0.586614,0.727273,0.956204,0.461538,0.538462,0.6,0.357215
0.677166,0.681818,0.89781,0.179487,0.307692,0.3,0.785739
0.846457,0.954545,0.948905,0.384615,0.769231,0.7,0.428636
0.523623,0.772727,0.963504,0.461538,0.230769,0.2,0.357215
0.708662,0.681818,0.948905,0.282051,0.538462,0.9,0.857159
0.669291,0.909091,0.854015,0.384615,0.923077,0.4,0
0.799212,0.954545,0.854015,0.25641,0.923077,0.7,0.214374
0.688976,0.636364,0.919708,0.25641,0.615385,0.7,0.357215
0.76378,0.681818,0.956204,0.25641,0.307692,0.3,0.785739
0.614173,0.681818,0.934307,0.128205,0.538462,0.2,0.357215
0.61811,0.545455,0.941606,0.333333,0.615385,0.7,0.357215
0.614173,0.772727,0.927007,0.512821,0.230769,0.2,0.357215
0.61811,0.681818,0.934307,0.128205,0.307692,0.3,0.357215
0.704725,0.136364,0.89781,0.076923,0.692308,1,0.785739
0.614173,0.590909,0.934307,0.384615,0.769231,0.7,0.357215
0.744094,0.863636,0.890511,0.230769,0.692308,0.8,0.214374
0.68504,0.681818,0.956204,0.512821,0.461538,0.9,0.142954
0.755906,0.818182,0.912409,0.512821,0.307692,0.8,0.357215
0.944882,0.409091,0.905109,0.25641,0.769231,0.6,0.785739
0.570866,0.909091,0.941606,0.794872,0.384615,0.7,0.357215
0.610236,0.772727,0.934307,0.717949,0.384615,0.9,0.142954
0.598425,0.772727,0.912409,0.333333,0.384615,0.7,0.357215
0.637795,0.545455,0.912409,0.179487,0.692308,0.8,0.357215
0.625985,0.727273,0.934307,0.666667,0.461538,0.7,0.785739
0.673229,0.409091,0.934307,0.128205,0.384615,0.7,0.785739
0.598425,0.909091,0.941606,0.666667,0.769231,0.6,0.357215
0.598425,0.454545,0.934307,0.128205,0.538462,0.5,0.357215
0.992127,0.909091,0.919708,0.25641,0.307692,0.2,0.142954
0.590552,0.5,0.948905,0.230769,0.461538,0.8,0.857159
0.586614,0.545455,0.912409,0.051282,0.692308,0.6,0.785739
0.641732,0.727273,0.817518,0.051282,0.923077,0.6,0.357215
0.653544,0.909091,0.948905,0.179487,0.769231,0.9,0.857159
0.708662,0.727273,0.89781,0.179487,0.692308,0.8,0.785739
0.637795,0.636364,0.912409,0.179487,0.538462,0.6,0.785739
0.543307,0.681818,0.912409,0.179487,0.692308,0.8,0.357215
0.6063,0.409091,0.941606,0.25641,0.384615,0.7,0.785739
0.633858,0.272727,0.919708,0.25641,0.153846,0.5,0.357215
0.641732,0.863636,0.948905,0.230769,0.692308,0.7,0.857159
0.629922,0.772727,0.934307,0.717949,0.538462,0.5,0.357215
0.708662,0.636364,0.948905,0.153846,0.769231,0.7,0.428636
0.669291,0.818182,0.956204,0.333333,0.153846,0.4,0.357215
0.602363,0.590909,0.912409,0.179487,0.461538,0.8,0.785739
0.61811,0.681818,0.934307,0.333333,0.615385,0.5,0.357215
0.787402,0.5,0.912409,0.410256,0.615385,0.4,0.357215
0.653544,0.772727,0.970803,0.666667,0.615385,0.6,0.357215
0.641732,0.772727,0.941606,0.589744,0.692308,0.8,0.357215
