@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,16-17-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute jialiaoliang numeric
@attribute jialiaocishu numeric
@attribute gongzuoshidianya numeric
@attribute zaosheng numeric
@attribute yangjixingchengri numeric
@attribute yangjixingchengdunlv numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute fehanliang numeric
@attribute sihanliang numeric
@attribute shijichulvliang numeric

@data
0.537072,0.459916,0.291045,0.575758,0.910653,0.818182,0.378378,0.893617,0.365854,0.7,0.69697,0.144,0.166667,1
0.454829,0.472574,0.248756,0.181818,0.900344,0.5,0.378378,0.879433,0.439024,0.733333,0.74026,0.162667,0.166667,1
0.330218,0.310127,0.355721,0.121212,0.886598,0.772727,0.405405,0.886525,0.487805,0.7,0.78355,0.245333,0.5,0.965517
0.515265,0.561181,0.171642,0.333333,0.900344,0.772727,0.351351,0.893617,0.365854,0.666667,0.74026,0.082667,0.166667,1
0.592523,0.556962,0.350746,0.151515,0.90378,0.5,0.513514,0.900709,0.560976,0.7,0.65368,0.205333,0.333333,0.965517
0.446729,0.449367,0.208955,0.545455,0.869416,0.727273,0.486486,0.886525,0.317073,0.666667,0.69697,0.208,0.166667,0.965517
0.148287,0.139241,0.470149,0.272727,0.900344,0.772727,0.567568,0.900709,0.487805,0.733333,0.78355,0.168,0.333333,1
0.435514,0.438819,0.201493,0.272727,0.927835,0.454545,0.567568,0.87234,0.317073,0.766667,0.78355,0.258667,0.166667,1
0.626168,0.588608,0.228856,0.242424,0.890034,0.727273,0.432432,0.87234,0.121951,0.766667,0.78355,0.213333,0.333333,1
0.634891,0.677215,0.574627,0.212121,0.900344,0.545455,0.405405,0.886525,0.365854,0.6,0.74026,0.114667,0.166667,0.965517
0.545794,0.542194,0.368159,0.393939,0.883162,0.409091,0.297297,0.893617,0.365854,0.633333,0.87013,0.16,0.333333,0.965517
0.601246,0.565401,0.41791,0.212121,0.896907,0.772727,0.324324,0.893617,0.487805,0.633333,0.82684,0.082667,0.166667,1
0.514019,0.483122,0.557214,0.242424,0.920962,0.772727,0.27027,0.886525,0.317073,0.633333,0.69697,0.136,0.166667,0.965517
0.437383,0.411392,0.300995,0.545455,0.876289,0.363636,0.513514,0.886525,0.170732,0.6,0.65368,0.117333,0.166667,1
0.477882,0.449367,0.343284,0.151515,0.900344,0.727273,0.243243,0.886525,0.317073,0.566667,0.61039,0.032,0.166667,1
0.442368,0.415612,0.246268,0.363636,0.910653,0.545455,0.324324,0.907801,0.317073,0.633333,0.69697,0.237333,0.333333,0.965517
0.626168,0.588608,0.251244,0.242424,0.890034,0.545455,0.324324,0.843972,0.243902,0.7,0.74026,0.208,0.166667,1
0.543302,0.540084,0.166667,0.121212,0.890034,0.727273,0.432432,0.879433,0.121951,0.5,0.78355,0.136,0.166667,1
0.390654,0.367089,0.522389,0.212121,0.90378,0.181818,0.432432,0.950355,0.317073,0.5,0.78355,0.128,0.333333,0.965517
0.462305,0.464135,0.189055,0.454545,0.886598,0.727273,0.513514,0.879433,0.365854,0.666667,0.74026,0.181333,0.166667,1
0.522118,0.531646,0.146766,0.181818,0.896907,0.727273,0.594595,0.886525,0.634146,0.633333,0.65368,0.098667,0.166667,1
0.624299,0.616034,0.146766,0.212121,0.886598,0.545455,0.513514,0.886525,0.439024,0.766667,0.74026,0.114667,0.166667,1
0.487227,0.457806,0.084577,0.212121,0.914089,0.772727,0.405405,0.843972,0.121951,0.733333,0.82684,0.149333,0.166667,1
0.339564,0.308017,0.328359,0.151515,0.893471,0.727273,0.486486,0.914894,0.756098,0.633333,0.87013,0.12,0.166667,0.965517
0.557009,0.552743,0.330846,0.30303,0.900344,0.727273,0.594595,0.929078,0.560976,0.633333,0.5671,0.072,0.166667,0.965517
0.657944,0.647679,0.082089,0.181818,0.900344,0.772727,0.351351,0.921986,0.121951,0.766667,0.82684,0.184,0.166667,1
0.442368,0.415612,0.597015,0.212121,0.920962,0.772727,0.459459,0.929078,0.365854,0.633333,0.82684,0.088,0,0.965517
0.538318,0.506329,0.31592,0.212121,0.900344,0.727273,0.459459,0.893617,0.317073,0.7,0.78355,0.074667,0.166667,1
0.554517,0.550633,0.504974,0.181818,0.879725,0.409091,0.486486,0.907801,0.560976,0.633333,0.74026,0.146667,0.166667,1
