@relation BreastTissue-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Class {car,fad,mas,gla,con,adi}
@attribute I0 numeric
@attribute PA500 numeric
@attribute HFS numeric
@attribute DA numeric
@attribute Area numeric
@attribute A/DA numeric
@attribute 'Max IP' numeric
@attribute DR numeric
@attribute P numeric

@data
car,0.156394,0.506054,0.184314,0.200377,0.038835,0.174272,0.12201,0.233069,0.155812
car,0.084168,0.620081,0.620915,0.097248,0.017733,0.150875,0.144228,0.109791,0.09931
car,0.166437,0.636226,0.243137,0.234871,0.06776,0.266496,0.163092,0.266559,0.191871
car,0.102707,0.660444,0.660131,0.113042,0.03057,0.231744,0.188703,0.115986,0.133036
car,0.096341,0.5444,0.581699,0.100848,0.018462,0.152308,0.143462,0.114636,0.108175
car,0.106367,0.398083,0.30719,0.094825,0.01379,0.11862,0.097607,0.118507,0.109831
car,0.069505,0.380928,0.223529,0.05268,0.006417,0.088274,0.064781,0.075799,0.074069
car,0.064026,0.409183,0.475817,0.068864,0.009666,0.108276,0.073194,0.093145,0.074545
car,0.136077,0.580222,0.546405,0.158022,0.046528,0.263102,0.178716,0.175698,0.172585
car,0.11865,0.59889,0.614379,0.146316,0.034618,0.208277,0.166042,0.164602,0.156334
car,0.11383,0.882947,0.681046,0.226259,0.060502,0.245751,0.139103,0.259422,0.13839
car,0.147201,0.62109,0.219608,0.191271,0.055897,0.265772,0.160931,0.219418,0.172301
car,0.124501,0.578204,0.237908,0.097006,0.027573,0.23858,0.170095,0.100527,0.14448
car,0.097865,0.773966,0.596078,0.146674,0.040103,0.241891,0.157979,0.16678,0.125057
car,0.141887,0.629667,0.375163,0.224418,0.046245,0.187407,0.132872,0.258133,0.150233
car,0.106415,1,0.505882,0.216555,0.057252,0.242091,0.145647,0.249033,0.127208
car,0.061734,0.564077,0.196078,0.058214,0.010855,0.140475,0.085888,0.077113,0.073644
car,0.073044,0.513623,0.436601,0.074211,0.017024,0.182828,0.101336,0.092901,0.094566
car,0.082314,0.613522,0.661438,0.200775,0.032308,0.143375,0.064546,0.239684,0.121852
car,0.070995,0.561554,1,0.167872,0.031368,0.165192,0.067262,0.20375,0.11565
