@relation Concrete_Data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Cement numeric
@attribute 'Blast Furnace Slag ' numeric
@attribute 'Fly Ash ' numeric
@attribute 'Water  ' numeric
@attribute 'Superplasticizer ' numeric
@attribute 'Coarse Aggregate  ' numeric
@attribute 'Fine Aggregate ' numeric
@attribute 'Age ' numeric
@attribute 'Concrete compressive strength' numeric

@data
1,0,0,0.321086,0.07764,0.694767,0.20572,0.074176,0.967485
1,0,0,0.321086,0.07764,0.738372,0.20572,0.074176,0.741996
0.526256,0.396494,0,0.848243,0,0.380814,0,0.739011,0.472655
0.526256,0.396494,0,0.848243,0,0.380814,0,1,0.482372
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.986264,0.52286
0.374429,0.317195,0,0.848243,0,0.380814,0.190667,0.244505,0.556871
0.634703,0.264329,0,0.848243,0,0.380814,0,1,0.515386
0.634703,0.264329,0,0.848243,0,0.380814,0,0.074176,0.425065
0.374429,0.317195,0,0.848243,0,0.380814,0.190667,0.074176,0.54217
0.851598,0,0,0.848243,0,0.380814,0,0.074176,0.460446
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.244505,0.445247
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.074176,0.320045
0.743151,0.132165,0,0.848243,0,0.380814,0,0.739011,0.50679
0.200913,0.528659,0,0.848243,0,0.380814,0.190667,0.244505,0.498318
0.461187,0.211464,0,0.848243,0,0.380814,0.190667,0.074176,0.566588
0.634703,0,0,0.848243,0,0.380814,0.190667,0.244505,0.630123
0.085845,0.582638,0,0.560703,0,0.715116,0.534119,0.244505,0.461318
0.547945,0.105732,0,0.848243,0,0.380814,0.190667,1,0.670363
0.634703,0.264329,0,0.848243,0,0.380814,0,0.244505,0.476268
0.851598,0,0,0.848243,0,0.380814,0,0.491758,0.501931
0.743151,0.132165,0,0.848243,0,0.380814,0,0.491758,0.492214
0.085845,0.582638,0,0.560703,0,0.715116,0.534119,0.074176,0.322786
0.085845,0.582638,0,0.560703,0,0.715116,0.534119,0.005495,0.071384
0.085845,0.582638,0,0.560703,0,0.715116,0.534119,0.491758,0.521739
0.634703,0,0,0.848243,0,0.380814,0.190667,1,0.625265
0.634703,0,0,0.848243,0,0.380814,0.190667,0.739011,0.634982
0.634703,0.264329,0,0.848243,0,0.380814,0,0.739011,0.483618
0.547945,0.105732,0,0.848243,0,0.380814,0.190667,0.491758,0.620282
0.743151,0.132165,0,0.848243,0,0.380814,0,0.074176,0.437274
0.851598,0,0,0.848243,0,0.380814,0,0.016484,0.45185
0.461187,0.211464,0,0.848243,0,0.380814,0.190667,1,0.6594
0.374429,0.317195,0,0.848243,0,0.380814,0.190667,1,0.630123
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.491758,0.490719
0.851598,0,0,0.848243,0,0.380814,0,0.739011,0.495827
0.200913,0.528659,0,0.848243,0,0.380814,0.190667,1,0.639841
0.309361,0.660824,0,0.848243,0,0.380814,0,0.739011,0.449483
0.309361,0.660824,0,0.848243,0,0.380814,0,0.074176,0.345708
0.526256,0.396494,0,0.848243,0,0.380814,0,0.244505,0.440887
0.851598,0,0,0.848243,0,0.380814,0,0.244505,0.497072
0.309361,0.660824,0,0.848243,0,0.380814,0,0.491758,0.422574
0.547945,0.105732,0,0.848243,0,0.380814,0.190667,0.244505,0.599601
0.743151,0.132165,0,0.848243,0,0.380814,0,1,0.515386
0.309361,0.660824,0,0.848243,0,0.380814,0,1,0.456833
0.634703,0,0,0.848243,0,0.380814,0.190667,0.491758,0.63249
0.743151,0.132165,0,0.848243,0,0.380814,0,0.244505,0.488476
0.743151,0.132165,0,0.848243,0,0.380814,0,0.016484,0.407998
0.563927,0,0,0.560703,0,0.715116,0.534119,0.005495,0.158465
0.634703,0.264329,0,0.848243,0,0.380814,0,0.491758,0.478759
0.309361,0.660824,0,0.848243,0,0.380814,0,0.016484,0.298119
0.634703,0.264329,0,0.848243,0,0.380814,0,0.016484,0.379843
0.526256,0.396494,0,0.848243,0,0.380814,0,0.491758,0.46655
0.200913,0.528659,0,0.848243,0,0.380814,0.190667,0.491758,0.555625
0.309361,0.660824,0,0.848243,0,0.380814,0,0.244505,0.38358
0.461187,0.211464,0,0.848243,0,0.380814,0.190667,0.244505,0.58378
0.085845,0.582638,0,0.560703,0,0.715116,0.534119,0.016484,0.152735
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.016484,0.153357
0.851598,0,0,0.848243,0,0.380814,0,1,0.493335
0.220548,0.368392,0,0.560703,0,0.515698,0.580783,0.005495,0.084714
0.461187,0.211464,0,0.848243,0,0.380814,0.190667,0.491758,0.605706
0.526256,0.396494,0,0.848243,0,0.380814,0,0.074176,0.382335
0.461187,0.211464,0,0.848243,0,0.380814,0.190667,0.739011,0.648437
0.374429,0.317195,0,0.848243,0,0.380814,0.190667,0.739011,0.615423
0.474886,0,0,0.560703,0,0.494186,0.643753,0.005495,0.093933
0.200913,0.528659,0,0.848243,0,0.380814,0.190667,0.739011,0.602093
0.374429,0.317195,0,0.848243,0,0.380814,0.190667,0.491758,0.577675
0.547945,0.105732,0,0.848243,0,0.380814,0.190667,0.739011,0.656908
0.085845,0.582638,0,0.560703,0,0.715116,0.534119,0.986264,0.527844
0.526256,0.396494,0,0.848243,0,0.380814,0,0.016484,0.3482
0.200913,0.528659,0,0.848243,0,0.380814,0.190667,0.074176,0.480005
0.874429,0,0,0.193291,0,0.927326,0.516809,0.074176,0.867821
0.621005,0.526433,0,0.385783,0.313665,0.363663,0.408179,0.005495,0.399527
0.48242,0.729549,0,0.428914,0.267081,0.714826,0.044656,0.005495,0.329762
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.005495,0.387069
0.737443,0.295771,0,0.236422,0.57764,0.392442,0.526091,0.005495,0.423197
0.623288,0.260991,0,0.038339,0.726708,0.148547,1,0.005495,0.332254
0.851598,0.330551,0,0.473642,0.276398,0.148547,0.470396,0.005495,0.441884
0.8379,0.326099,0,0.127796,1,0.148547,0.618414,0.005495,0.471783
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.005495,0.387069
0.654338,0.270173,0,0.288339,0.375776,0.148547,0.832163,0.005495,0.321041
0.980137,0,0,0.159744,0.875776,0.148547,0.751882,0.005495,0.485486
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.005495,0.387069
0.494977,0.591263,0,0.270767,0.444099,0.148547,0.718515,0.005495,0.284913
0.684475,0.263495,0,0.204473,0.354037,0.423837,0.647516,0.005495,0.482995
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.005495,0.410739
0.506164,0.786867,0,0.495208,0.319876,0.411919,0.165329,0.005495,0.323533
0.633562,0.420701,0,0.25639,0.493789,0.968895,0.027597,0.005495,0.32727
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.005495,0.410739
0.420776,0.558987,0,0.182907,0.347826,0.59186,0.526091,0.005495,0.274947
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.005495,0.410739
0.769406,0.492487,0,0.51278,0.34472,0.243895,0.28575,0.005495,0.460571
0.657306,0.525876,0,0.192492,0.68323,0.417733,0.405921,0.005495,0.476766
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.005495,0.410739
0.538584,0.525876,0,0.424121,0.295031,0.417733,0.405921,0.005495,0.27121
0.621005,0.526433,0,0.385783,0.313665,0.363663,0.408179,0.016484,0.54653
0.48242,0.729549,0,0.428914,0.267081,0.714826,0.044656,0.016484,0.504173
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.016484,0.583904
0.737443,0.295771,0,0.236422,0.57764,0.392442,0.526091,0.016484,0.554005
0.623288,0.260991,0,0.038339,0.726708,0.148547,1,0.016484,0.540301
0.851598,0.330551,0,0.473642,0.276398,0.148547,0.470396,0.016484,0.663635
0.8379,0.326099,0,0.127796,1,0.148547,0.618414,0.016484,0.654915
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.016484,0.583904
0.654338,0.270173,0,0.288339,0.375776,0.148547,0.832163,0.016484,0.405756
0.980137,0,0,0.159744,0.875776,0.148547,0.751882,0.016484,0.555251
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.016484,0.583904
0.494977,0.591263,0,0.270767,0.444099,0.148547,0.718515,0.016484,0.387069
0.684475,0.263495,0,0.204473,0.354037,0.423837,0.647516,0.016484,0.644948
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.016484,0.667373
0.506164,0.786867,0,0.495208,0.319876,0.411919,0.165329,0.016484,0.591379
0.633562,0.420701,0,0.25639,0.493789,0.968895,0.027597,0.016484,0.557743
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.016484,0.667373
0.420776,0.558987,0,0.182907,0.347826,0.59186,0.526091,0.016484,0.444375
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.016484,0.667373
0.769406,0.492487,0,0.51278,0.34472,0.243895,0.28575,0.016484,0.669864
0.657306,0.525876,0,0.192492,0.68323,0.417733,0.405921,0.016484,0.707113
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.016484,0.25626
0.538584,0.525876,0,0.424121,0.295031,0.417733,0.405921,0.016484,0.408247
0.621005,0.526433,0,0.385783,0.313665,0.363663,0.408179,0.074176,0.732029
0.48242,0.729549,0,0.428914,0.267081,0.714826,0.044656,0.074176,0.715959
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.074176,0.722063
0.737443,0.295771,0,0.236422,0.57764,0.392442,0.526091,0.074176,0.740875
0.623288,0.260991,0,0.038339,0.726708,0.148547,1,0.074176,0.677339
0.851598,0.330551,0,0.473642,0.276398,0.148547,0.470396,0.074176,0.821851
0.8379,0.326099,0,0.127796,1,0.148547,0.618414,0.074176,0.80441
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.074176,0.722063
0.654338,0.270173,0,0.288339,0.375776,0.148547,0.832163,0.074176,0.602591
0.980137,0,0,0.159744,0.875776,0.148547,0.751882,0.074176,0.673602
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.074176,0.722063
0.494977,0.591263,0,0.270767,0.444099,0.148547,0.718515,0.074176,0.662389
0.684475,0.263495,0,0.204473,0.354037,0.423837,0.647516,0.074176,0.824343
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.074176,0.859225
0.506164,0.786867,0,0.495208,0.319876,0.411919,0.165329,0.074176,0.901582
0.633562,0.420701,0,0.25639,0.493789,0.968895,0.027597,0.074176,0.621278
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.074176,0.859225
0.420776,0.558987,0,0.182907,0.347826,0.59186,0.526091,0.074176,0.814376
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.074176,0.859225
0.769406,0.492487,0,0.51278,0.34472,0.243895,0.28575,0.074176,0.793198
0.657306,0.525876,0,0.192492,0.68323,0.417733,0.405921,0.074176,0.899091
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.074176,0.859225
0.538584,0.525876,0,0.424121,0.295031,0.417733,0.405921,0.074176,0.592625
0.621005,0.526433,0,0.385783,0.313665,0.363663,0.408179,0.151099,0.760807
0.48242,0.729549,0,0.428914,0.267081,0.714826,0.044656,0.151099,0.779494
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.151099,0.772019
0.737443,0.295771,0,0.236422,0.57764,0.392442,0.526091,0.151099,0.779494
0.623288,0.260991,0,0.038339,0.726708,0.148547,1,0.151099,0.720942
0.851598,0.330551,0,0.473642,0.276398,0.148547,0.470396,0.151099,0.871683
0.8379,0.326099,0,0.127796,1,0.148547,0.618414,0.151099,0.834309
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.151099,0.772019
0.654338,0.270173,0,0.288339,0.375776,0.148547,0.832163,0.151099,0.658652
0.980137,0,0,0.159744,0.875776,0.148547,0.751882,0.151099,0.703501
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.151099,0.772019
0.494977,0.591263,0,0.270767,0.444099,0.148547,0.718515,0.151099,0.794444
0.684475,0.263495,0,0.204473,0.354037,0.423837,0.647516,0.151099,0.889124
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.151099,0.933973
0.506164,0.786867,0,0.495208,0.319876,0.411919,0.165329,0.151099,0.970101
0.633562,0.420701,0,0.25639,0.493789,0.968895,0.027597,0.151099,0.654915
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.151099,0.933973
0.420776,0.558987,0,0.182907,0.347826,0.59186,0.526091,0.151099,0.880279
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.151099,0.933973
0.769406,0.492487,0,0.51278,0.34472,0.243895,0.28575,0.151099,0.864208
0.657306,0.525876,0,0.192492,0.68323,0.417733,0.405921,0.151099,0.960135
0.594977,0.525876,0,0.344249,0.360248,0.417733,0.405921,0.151099,0.933973
0.538584,0.525876,0,0.424121,0.295031,0.417733,0.405921,0.151099,0.71708
0.621005,0.526433,0,0.385783,0.313665,0.363663,0.408179,0.247253,0.779494
0.48242,0.729549,0,0.428914,0.267081,0.714826,0.044656,0.247253,0.800673
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.247253,0.783232
0.737443,0.295771,0,0.236422,0.57764,0.392442,0.526091,0.247253,0.801919
0.623288,0.260991,0,0.038339,0.726708,0.148547,1,0.247253,0.749595
0.851598,0.330551,0,0.473642,0.276398,0.148547,0.470396,0.247253,0.895229
0.8379,0.326099,0,0.127796,1,0.148547,0.618414,0.247253,0.85175
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.247253,0.783232
0.654338,0.270173,0,0.288339,0.375776,0.148547,0.832163,0.247253,0.688551
0.980137,0,0,0.159744,0.875776,0.148547,0.751882,0.247253,0.708484
0.737443,0.295771,0,0.253195,0.512422,0.148547,0.735324,0.247253,0.783232
0.494977,0.591263,0,0.270767,0.444099,0.148547,0.718515,0.247253,0.81936
