@relation ENB2012_data-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute Y1 numeric

@data
1,0,0.285714,0,1,0,0,0,0.257212
1,0,0.285714,0,1,0.333333,0,0,0.257212
1,0,0.285714,0,1,0.666667,0,0,0.257212
1,0,0.285714,0,1,1,0,0,0.257212
0.777778,0.166667,0.428571,0.111111,1,0,0,0,0.399838
0.777778,0.166667,0.428571,0.111111,1,0.333333,0,0,0.416554
0.777778,0.166667,0.428571,0.111111,1,0.666667,0,0,0.396333
0.777778,0.166667,0.428571,0.111111,1,1,0,0,0.368563
0.666667,0.25,0.285714,0.333333,1,0,0,0,0.36371
0.666667,0.25,0.285714,0.333333,1,0.333333,0,0,0.375843
0.666667,0.25,0.285714,0.333333,1,0.666667,0,0,0.359396
0.666667,0.25,0.285714,0.333333,1,1,0,0,0.331626
0.555556,0.333333,0.428571,0.333333,1,0,0,0,0.297654
0.555556,0.333333,0.428571,0.333333,1,0.333333,0,0,0.30736
0.555556,0.333333,0.428571,0.333333,1,0.666667,0,0,0.294958
0.555556,0.333333,0.428571,0.333333,1,1,0,0,0.268806
0.472222,0.416667,0.571429,0.333333,1,0,0,0,0.606902
0.472222,0.416667,0.571429,0.333333,1,0.333333,0,0,0.644109
0.472222,0.416667,0.571429,0.333333,1,0.666667,0,0,0.636829
0.472222,0.416667,0.571429,0.333333,1,1,0,0,0.613103
0.388889,0.5,1,0.111111,1,0,0,0,0.505797
0.388889,0.5,1,0.111111,1,0.333333,0,0,0.483149
0.388889,0.5,1,0.111111,1,0.666667,0,0,0.505797
0.388889,0.5,1,0.111111,1,1,0,0,0.483149
0.333333,0.583333,0,1,0,0,0,0,0.001618
0.333333,0.583333,0,1,0,0.333333,0,0,0.001078
0.333333,0.583333,0,1,0,0.666667,0,0,0
0.333333,0.583333,0,1,0,1,0,0,0.000809
0.25,0.666667,0.142857,1,0,0,0,0,0.009706
0.25,0.666667,0.142857,1,0,0.333333,0,0,0.010515
0.25,0.666667,0.142857,1,0,0.666667,0,0,0.009706
0.25,0.666667,0.142857,1,0,1,0,0,0.010515
0.194444,0.75,0.285714,1,0,0,0,0,0.022648
0.194444,0.75,0.285714,1,0,0.333333,0,0,0.02103
0.194444,0.75,0.285714,1,0,0.666667,0,0,0.020491
0.194444,0.75,0.285714,1,0,1,0,0,0.021569
0.111111,0.833333,0.428571,1,0,0,0,0,0.031545
0.111111,0.833333,0.428571,1,0,0.333333,0,0,0.029388
0.111111,0.833333,0.428571,1,0,0.666667,0,0,0.029388
0.111111,0.833333,0.428571,1,0,1,0,0,0.029388
