@relation pop_failure-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute vconst_corr numeric
@attribute vconst_2 numeric
@attribute vconst_3 numeric
@attribute vconst_4 numeric
@attribute vconst_5 numeric
@attribute vconst_7 numeric
@attribute ah_corr numeric
@attribute ah_bolus numeric
@attribute slm_corr numeric
@attribute efficiency_factor numeric
@attribute tidal_mix_max numeric
@attribute vertical_decay_scale numeric
@attribute convect_corr numeric
@attribute bckgrnd_vdc1 numeric
@attribute bckgrnd_vdc_ban numeric
@attribute bckgrnd_vdc_eq numeric
@attribute bckgrnd_vdc_psim numeric
@attribute Prandtl numeric
@attribute class {0,1}

@data
0.859671,0.928788,0.252421,0.298148,0.169988,0.737921,0.426147,0.568669,0.474011,0.244266,0.103856,0.870925,1,0.447325,0.307274,0.86054,0.797506,0.870159,0
0.606367,0.457227,0.359316,0.306302,0.844088,0.937501,0.442487,0.829203,0.295175,0.616383,0.975832,0.916335,0.847149,0.863988,0.346527,0.356977,0.438628,0.512305,1
0.998404,0.372474,0.517729,0.505192,0.61923,0.607119,0.745857,0.195983,0.817388,0.679023,0.803377,0.645045,0.71986,0.924776,0.315136,0.250661,0.285677,0.365818,1
0.783951,0.102452,0.196926,0.421678,0.742619,0.491993,0.000941,0.39253,0.006825,0.470614,0.597745,0.763119,0.362815,0.912788,0.978782,0.848106,0.699851,0.476013,1
0.406331,0.512871,0.060808,0.636602,0.845558,0.442502,0.188403,0.488124,0.357468,0.550894,0.743812,0.312245,0.651382,0.521167,0.04288,0.377137,0.280134,0.132101,1
0.041016,0.629059,0.303083,0.814939,0.222384,0.973978,0.608633,0.648669,0.739161,0.440019,0.03558,0.61682,0.016236,0.932341,0.329105,0.956701,0.135283,0.294721,1
0.160832,0.548621,0.152848,0.655261,0.139755,0.798833,0.403534,0.663527,0.046477,0.577937,0.264562,0.961365,0.699448,0.466115,0.637351,0.010398,0.14724,0.213681,1
0.415392,0.899605,0.933364,0.918625,0.399011,0.009,0.846458,0.684702,0.396478,0.886952,0.522258,0.696001,0.888581,0.410278,0.481135,0.929024,0.026235,0.092533,1
0.166547,0.352144,0.989828,0.286329,0.563847,0.403578,0.378484,0.479754,0.057281,0.235092,0.290203,0.392005,0.254598,0.487213,0.053035,0.86447,0.415215,0.487159,1
0.656013,0.413293,0.806461,0.162211,0.862695,0.950287,0.545059,0.426609,0.416372,0.94594,0.325124,0.667656,0.374378,0.098049,0.212894,0.222777,0.007073,0.42002,1
0.590314,0.29268,0.423553,0.329247,0.457856,0.832081,0.495984,0.15943,0.973791,0.491546,0.08389,0.976534,0.928635,0.293714,0.804749,0.873115,0.546575,0.885146,1
0.882592,0.424313,0.904681,0.172074,0.791663,0.477299,0.680437,0.907171,0.830215,0.081906,0.520396,0.071977,0.950388,0.999821,0.728876,0.286035,0.210863,0.833834,1
0.96177,0.978024,0.859255,0.615646,0.615837,0.353472,0.834091,0.094966,0.229049,0.955186,0.577038,0.785047,0.531127,0.173131,0.544585,0.080795,0.733465,0.531429,0
0.172326,0.011671,0.624087,0.519397,0.254084,0.367698,0.051396,0.519135,0.370269,0.853885,0.346786,0.949453,0.598238,0.427458,0.401271,0.822537,0.599913,0.1355,1
0.396584,0.19994,0.969757,0.838071,0.610287,0.245023,0.788141,0.356359,0.122566,0.50935,0.40374,0.867434,0.500101,0.588738,0.014288,0.895712,0.562417,0.028203,1
0.051269,0.309954,0.910769,0.720242,0.433138,1,0.228083,0.772676,0.593434,0.10739,0.214801,0.050808,0.293327,0.751376,0.923204,0.607887,0.31828,0.719028,1
0.814937,0.697018,0.703755,0.977868,0.984511,0.030764,0.939617,0.745885,0.753589,0.411529,0.586517,0.943739,0.247091,0.549193,0.229521,0.693101,1,0.647194,1
0.595937,0.79207,0.795263,0.430546,0.917677,0.900311,0.729317,0.560912,0.659719,0.835308,0.644648,0.444574,0.821845,0.877929,0.238097,0.414149,0.378853,0.973378,1
0.453427,0.226596,0.870323,0.841191,0.132745,0.954045,0.175484,0.022898,0.142479,0.673925,0.082893,0.43757,0.230946,0.423193,0.578802,0.139901,0.539182,0.620506,1
0.358701,0.539518,0.408215,0.391051,0.661392,0.732242,0.413306,0.678889,0.089554,0.456813,0.971094,0.115883,0.895509,0.895201,0.412027,0.066841,0.254963,0.146528,1
0.795755,0.128263,0.883221,0.53158,0.547186,0.628215,0.689083,0.943043,0.466011,0.096538,0.434932,0.731717,0.870257,0.852625,0.526075,0.787385,0.63096,0.741111,1
0.50088,0.359642,0.940674,0.148662,0.579291,0.298008,0.906147,0.766308,0.023792,0.608241,0.315981,0.844344,0.384578,0.60012,0.942242,0.984353,0.225039,0.692802,1
