@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,13-15-weka.filters.unsupervised.attribute.Remove-R1'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric
@attribute class {medium,good,excellent}

@data
3.961,950,2.48,15,245,220,88.619003,medium
3.95,951,2.6,15,255,190,88.619003,medium
3.978,950,2.44,13,245,210,88.619003,medium
4.117,951,2.64,15,240,220,88.619003,medium
4.102,955,2.64,20,250,190,88.619003,medium
3.962,955,2.48,13,245,180,88.619003,medium
4.083,953,2.6,18,235,190,88.619003,medium
3.949,951,2.42,5,235,200,88.619003,medium
3.915,954,2.56,10,255,200,88.619003,medium
4.038,950,2.58,7,240,150,88.619003,medium
4.109,951,2.6,10,240,180,88.619003,medium
4.081,955,2.78,28,225,200,88.619003,medium
3.976,949,2.54,7,255,170,88.619003,medium
4.097,953,2.62,10,250,210,88.619003,medium
3.982,947,2.44,5,245,200,88.619003,medium
4.036,950,2.64,23,250,190,88.619003,medium
4.11,953,2.6,18,255,200,88.619003,medium
4.031,956,2.64,13,240,170,88.619003,medium
3.976,951,2.46,5,250,190,88.619003,medium
3.979,952,2.56,7,250,160,88.619003,medium
4.028,947,2.62,7,250,200,88.619003,medium
3.943,959,2.48,15,250,150,88.619003,medium
3.967,956,2.48,13,235,140,88.619003,medium
3.95,951,2.44,2,250,160,88.619003,medium
3.956,949,2.62,7,245,190,88.619003,medium
3.983,953,2.58,18,260,200,88.619003,medium
4.021,952,2.52,7,260,170,88.619003,medium
3.972,954,2.48,15,280,190,88.619003,medium
3.962,954,2.48,5,240,210,88.619003,medium
4.009,956,2.46,13,260,170,88.619003,medium
3.987,954,2.48,7,255,200,88.619003,medium
4.026,950,2.44,0,260,200,88.619003,medium
4.038,952,2.38,5,230,190,88.619003,medium
3.942,955,2.46,13,230,190,88.619003,medium
4.011,954,2.36,10,220,190,88.619003,medium
3.948,954,2.54,15,230,220,88.619003,medium
3.917,950,2.44,5,235,220,88.619003,medium
3.978,955,2.48,15,180,180,88.619003,medium
3.877,941,2.58,0,200,180,88.619003,medium
3.996,953,2.46,7,220,170,88.619003,medium
4.011,950,2.48,7,210,200,88.619003,medium
4.011,949,2.56,7,230,160,88.619003,medium
3.901,950,2.5,5,225,210,88.619003,medium
4.038,953,2.5,20,240,210,88.619003,medium
4.008,954,2.48,24,265,210,88.619003,medium
3.998,950,2.44,19,255,210,88.619003,medium
4.087,950,2.58,24,240,190,88.619003,medium
4.008,950,2.64,29,260,210,88.619003,medium
4.01,954,2.46,24,260,170,88.619003,medium
4.044,957,2.52,26,270,210,88.619003,medium
4,947,2.54,5,245,150,88.619003,medium
3.998,952,2.5,13,245,200,88.619003,medium
3.978,953,2.22,7,265,170,88.619003,medium
3.965,955,2.54,15,255,190,88.619003,medium
3.954,953,2.54,10,255,160,88.619003,medium
4.03,952,2.58,10,260,210,88.619003,medium
4.001,952,2.56,13,255,190,88.619003,medium
4.012,950,2.46,10,265,190,88.619003,medium
3.966,954,2.56,13,255,210,88.619003,medium
4.103,947,2.56,5,245,210,88.619003,medium
3.954,952,2.56,10,250,180,88.619003,medium
4.018,957,2.54,10,270,160,88.619003,medium
3.954,957,2.44,15,265,160,88.619003,medium
4.065,950,2.54,2,250,190,88.619003,medium
3.964,953,2.38,5,245,170,88.619003,medium
4.025,959,2.44,18,265,170,88.619003,medium
3.964,956,2.42,10,255,180,88.619003,medium
4.095,949,2.5,20,225,200,88.619003,medium
3.994,952,2.54,24,265,190,88.619003,medium
4.02,944,2.5,26,260,180,88.619003,medium
4.012,943,2.42,15,260,180,88.619003,medium
3.996,945,2.5,24,260,190,88.619003,medium
3.958,943,2.62,24,265,170,88.619003,medium
4.011,949,2.54,24,270,180,88.619003,medium
3.974,951,2.54,26,260,190,88.619003,medium
4.016,952,2.48,16,265,210,88.619003,medium
4.012,949,2.56,16,260,210,88.619003,medium
4.034,952,2.54,20,260,210,88.619003,medium
3.952,946,2.5,9,265,200,88.619003,medium
3.857,952,2.6,7,255,190,88.619003,medium
3.976,953,2.54,7,245,180,88.619003,medium
3.966,947,2.6,20,250,240,88.619003,medium
4.037,952,2.6,16,250,190,88.619003,medium
4.011,951,2.6,16,270,220,88.619003,medium
3.97,952,2.46,10,280,200,88.619003,medium
4.005,945,2.58,2,240,190,88.619003,medium
4.01,947,2.46,5,270,200,88.619003,medium
4.009,949,2.5,7,255,200,88.619003,medium
3.966,949,2.52,5,250,200,88.619003,medium
3.976,949,2.5,7,270,190,88.619003,medium
4.003,951,2.58,10,260,180,88.619003,medium
3.879,939,2.52,0,270,190,88.619003,medium
3.982,943,2.48,5,270,180,88.619003,medium
4,943,2.48,5,265,190,88.619003,medium
3.988,949,2.5,5,260,180,88.619003,medium
4.003,946,2.18,0,250,200,88.619003,medium
3.967,948,2.58,7,255,180,88.619003,medium
3.976,952,2.5,13,260,200,88.619003,medium
4.017,953,2.52,7,270,160,88.619003,medium
3.936,948,2.14,0,270,200,88.619003,medium
4.049,956,2.34,10,280,200,91.457001,good
4.015,951,2.5,11,260,200,91.457001,good
4.01,952,2.52,13,270,220,91.457001,good
4.033,952,2.46,11,250,210,91.457001,good
3.994,948,2.42,11,290,180,91.457001,good
4.094,951,2.52,11,260,180,91.457001,good
4.116,950,2.64,9,235,190,91.457001,good
3.977,949,2.46,14,260,190,91.457001,good
3.999,947,2.6,9,260,210,91.457001,good
3.999,947,2.5,6,260,210,91.457001,good
3.973,953,2.56,11,290,190,91.457001,good
3.998,952,2.42,14,275,210,91.457001,good
4.026,947,2.54,10,270,210,91.457001,good
4.049,951,2.54,16,260,200,91.457001,good
4.05,951,2.54,18,290,150,91.457001,good
3.964,953,2.48,14,270,210,91.457001,good
4.059,945,2.48,3,270,220,91.457001,good
4.072,954,2.58,10,265,180,91.457001,good
3.968,947,2.54,11,270,210,91.457001,good
4.115,960,2.5,13,260,200,91.457001,good
4.008,947,2.3,7,285,200,91.457001,good
3.97,957,2.48,18,275,210,91.457001,good
4.034,950,2.54,14,255,230,91.457001,good
3.963,953,2.54,19,265,200,91.457001,good
3.999,946,2.46,3,270,200,91.457001,good
4.028,955,2.34,10,275,180,91.457001,good
3.99,952,2.5,11,260,210,91.457001,good
4.078,950,2.52,11,280,190,91.457001,good
4.114,949,2.58,10,240,180,91.457001,good
4.104,952,2.52,11,260,220,91.457001,good
4.086,958,2.58,13,260,220,91.457001,good
3.989,955,2.48,11,290,160,91.457001,good
4.072,959,2.48,11,270,210,91.457001,good
3.986,946,2.4,1,260,190,91.457001,good
4.006,950,2.38,3,260,200,91.457001,good
3.995,954,2.46,7,280,190,91.457001,good
3.991,948,2.46,13,265,210,91.457001,good
4.006,947,2.42,9,275,180,91.457001,good
3.989,944,2.54,10,270,150,91.457001,good
4.026,947,2.44,0,260,220,91.457001,good
3.999,946,2.48,11,270,180,91.457001,good
3.971,948,2.46,11,270,210,91.457001,good
4.008,951,2.48,19,270,200,91.457001,good
3.99,955,2.56,20,275,210,91.457001,good
4.033,951,2.5,24,280,200,91.457001,good
3.976,949,2.4,6,275,170,91.457001,good
4.033,949,2.54,14,260,170,91.457001,good
4.012,946,2.26,3,255,210,91.457001,good
4.073,954,2.38,3,275,190,91.457001,good
4.019,951,2.44,2,265,170,91.457001,good
3.959,949,2.54,10,270,180,91.457001,good
3.992,954,2.52,14,275,220,91.457001,good
3.973,954,2.42,14,270,190,91.457001,good
3.979,947,2.42,9,270,190,91.457001,good
3.963,947,2.5,11,275,210,91.457001,good
3.961,956,2.44,19,260,220,91.457001,good
3.99,951,2.44,5,275,200,91.457001,good
4.051,953,2.62,15,175,190,91.466003,good
3.939,947,2.44,14,270,220,91.487,good
4.028,949,2.58,7,260,200,91.503998,good
3.978,949,2.54,5,265,200,91.503998,good
4.029,950,2.62,18,265,210,91.503998,good
4.05,949,2.48,5,270,210,91.503998,good
4.029,947,2.48,2,260,210,91.503998,good
3.984,947,2.62,2,265,210,91.503998,good
4.008,952,2.46,15,260,190,91.503998,good
3.935,947,2.48,0,275,180,91.503998,good
3.954,955,2.54,14,255,210,91.503998,good
4.038,950,2.6,10,255,210,91.503998,good
4.007,955,2.58,9,260,160,91.503998,good
4.051,952,2.54,5,260,180,91.503998,good
4.014,949,2.4,0,275,190,91.503998,good
4.027,951,2.56,7,250,150,91.503998,good
3.972,951,2.54,15,275,210,91.503998,good
4.041,950,2.54,5,260,220,91.503998,good
4.061,956,2.6,15,270,200,91.503998,good
4.012,953,2.5,11,260,210,91.503998,good
3.995,946,2.52,0,270,190,91.503998,good
3.979,946,2.44,3,285,210,91.503998,good
4.086,949,2.46,10,270,190,91.503998,good
3.993,946,2.5,13,280,210,91.503998,good
3.996,950,2.52,11,280,200,91.503998,good
4.062,952,2.56,11,280,200,91.503998,good
4.006,947,2.42,5,275,180,91.503998,good
3.981,965,2.4,0,270,200,91.503998,good
4.034,951,2.5,6,265,190,91.503998,good
4.011,953,2.5,10,270,190,91.503998,good
3.995,953,2.36,11,270,180,91.503998,good
4.093,954,2.56,11,275,220,91.503998,good
4.124,950,2.5,11,260,200,91.503998,good
3.987,953,2.42,0,280,190,91.503998,good
4.003,952,2.54,11,270,170,91.503998,good
4.06,954,2.52,13,280,180,91.503998,good
4.035,953,2.48,13,275,180,91.503998,good
4.002,956,2.5,14,280,190,91.503998,good
4.011,957,2.5,14,280,180,91.503998,good
4.02,950,2.44,9,280,190,91.503998,good
4.001,950,2.48,11,280,180,91.503998,good
4.064,952,2.58,9,250,180,91.503998,good
4.126,946,2.7,10,260,230,91.503998,good
4.065,951,2.62,15,265,180,94.611,excellent
4.037,948,2.5,11,290,180,94.611,excellent
4.023,945,2.4,11,270,190,94.611,excellent
4.072,957,2.48,11,280,200,94.611,excellent
3.992,952,2.54,14,285,200,94.611,excellent
3.94,953,2.48,11,265,190,94.611,excellent
3.989,949,2.46,10,275,180,94.611,excellent
3.987,948,2.5,13,285,200,94.611,excellent
4.003,951,2.54,10,265,200,94.611,excellent
4.02,947,2.5,9,290,180,94.611,excellent
4.043,947,2.4,9,280,110,94.611,excellent
3.993,953,2.46,10,275,170,94.611,excellent
3.978,953,2.5,11,265,190,94.658997,excellent
3.962,952,2.5,6,270,200,94.658997,excellent
4.03,948,2.54,3,280,140,94.658997,excellent
3.98,964,2.56,0,280,190,94.658997,excellent
3.962,956,2.5,13,290,170,94.658997,excellent
3.961,957,2.52,0,280,150,94.658997,excellent
4.02,949,2.5,0,260,200,94.658997,excellent
4.042,951,2.52,6,260,180,94.658997,excellent
3.986,955,2.46,18,270,210,94.658997,excellent
4.008,957,2.4,19,280,180,94.658997,excellent
3.959,949,2.4,0,285,190,94.658997,excellent
4.003,952,2.4,0,270,210,94.658997,excellent
3.997,947,2.38,5,280,200,94.658997,excellent
3.957,949,2.52,14,270,200,94.658997,excellent
3.973,951,2.5,18,265,210,94.658997,excellent
3.986,941,2.4,9,295,180,94.658997,excellent
4.057,955,2.62,16,285,210,94.658997,excellent
4.009,957,2.5,10,280,170,94.658997,excellent
4.004,952,2.54,13,285,180,94.658997,excellent
3.971,950,2.4,0,275,200,94.658997,excellent
4.048,952,2.62,11,255,210,94.658997,excellent
4.081,947,2.5,6,290,190,94.658997,excellent
3.982,952,2.56,13,275,190,94.658997,excellent
3.971,956,2.5,0,270,210,94.658997,excellent
4.067,951,2.48,5,290,190,94.658997,excellent
3.964,963,2.5,0,270,210,94.658997,excellent
4.039,958,2.5,7,275,200,94.658997,excellent
4.022,955,2.4,10,280,170,94.658997,excellent
4.012,950,2.46,9,285,200,94.658997,excellent
3.965,950,2.72,18,260,190,94.685997,excellent
4.039,954,2.3,9,285,170,94.707001,excellent
4.002,947,2.5,5,290,200,94.707001,excellent
4,946,2.4,5,280,200,94.707001,excellent
3.996,949,2.44,2,285,170,94.707001,excellent
4.014,943,2.36,2,275,200,94.707001,excellent
4,959,2.54,0,280,190,94.707001,excellent
3.998,947,2.54,5,280,170,94.707001,excellent
4.004,955,2.52,7,280,200,94.707001,excellent
4.045,950,2.34,5,300,170,94.707001,excellent
4.055,955,2.52,14,290,200,94.707001,excellent
3.96,950,2.52,0,280,190,94.707001,excellent
3.979,950,2.46,5,285,190,94.707001,excellent
4.017,945,2.52,0,290,200,94.707001,excellent
4.04,957,2.5,10,275,170,94.724998,excellent
4.004,953,2.5,11,270,190,94.724998,excellent
3.953,955,2.52,11,280,210,94.724998,excellent
4.01,953,2.46,5,270,200,94.724998,excellent
4.02,948,2.42,0,285,190,94.724998,excellent
4.016,951,2.5,6,280,230,94.754997,excellent
4.04,943,2.54,2,280,180,94.754997,excellent
3.96,958,2.52,0,290,180,94.754997,excellent
4.04,941,2.52,0,275,210,94.773003,excellent
3.986,962,2.56,0,305,180,94.791,excellent
4.081,942,2.5,7,280,220,94.791,excellent
4.008,947,2.46,3,270,210,94.791,excellent
3.99,953,2.4,3,265,210,94.804001,excellent
3.943,950,2.52,15,275,200,94.804001,excellent
3.984,953,2.48,15,260,120,94.804001,excellent
4.001,941,2.52,5,275,180,94.804001,excellent
3.978,946,2.46,3,265,190,94.804001,excellent
3.971,948,2.4,0,270,200,94.804001,excellent
3.984,951,2.52,7,280,170,94.851997,excellent
4.006,944,2.52,7,250,180,94.851997,excellent
3.97,945,2.34,6,250,170,94.851997,excellent
3.985,945,2.62,15,275,200,94.851997,excellent
4.077,950,2.72,7,270,190,94.851997,excellent
4.031,947,2.56,10,275,210,94.851997,excellent
4.059,952,2.5,15,270,190,94.851997,excellent
3.999,946,2.46,10,280,190,94.851997,excellent
4.008,951,2.52,10,285,210,94.851997,excellent
4.011,949,2.42,0,270,140,94.851997,excellent
3.986,943,2.56,2,280,210,94.851997,excellent
3.979,950,2.52,5,275,200,94.851997,excellent
4,946,2.5,16,275,180,94.851997,excellent
3.968,954,2.48,13,270,180,94.851997,excellent
3.973,953,2.48,15,260,180,94.851997,excellent
3.997,956,2.54,14,280,190,94.857002,excellent
4.109,953,2.44,5,275,180,94.899002,excellent
3.949,950,2.6,7,270,190,94.900002,excellent
4.03,950,2.58,15,265,200,94.900002,excellent
3.917,948,2.54,0,270,180,94.900002,excellent
3.912,959,2.58,0,270,180,94.900002,excellent
4.031,962,2.56,18,260,170,94.900002,excellent
3.986,954,2.46,15,270,180,94.900002,excellent
4.012,956,2.34,13,270,200,94.900002,excellent
4.037,947,2.42,6,270,210,94.900002,excellent
4.042,940,2.52,11,275,180,94.900002,excellent
4.122,949,2.36,0,275,200,94.900002,excellent
