@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R7,9'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4.01,947,2.52,15,270,170,93.013457
4,948,2.62,20,245,190,89.983886
4,949,2.58,15,260,200,95.192903
4,945,2.5,20,245,210,88.173476
4,946,2.5,20,240,210,89.93854
4,940,2.6,20,250,200,88.26788
4.01,951,2.54,15,230,150,92.649313
4,952,2.46,20,225,190,92.032062
4,947,2.74,20,240,200,88.007354
3.995,946,2.5,20,260,170,92.893461
4,951,2.46,15,240,170,92.076879
4.027,952,2.34,10,270,200,93.510875
4,948,2.58,10,265,140,95.413186
4,946,2.58,0,265,210,94.651311
4,951,2.66,25,250,180,91.32428
4.012,950,2.6,10,270,210,95.302326
4,951,2.1,20,240,200,91.837743
4,953,2.66,25,260,200,91.016309
4.01,952,2.4,15,250,200,94.940172
4,955,2.48,20,255,220,91.451011
4.025,957,2.58,12,265,130,95.145093
4.01,949,2.48,10,245,180,94.912252
4,947,2.58,20,240,200,88.707706
4,954,2.7,20,240,220,89.79867
4,944,0,20,250,200,88.094532
4.01,947,2.48,15,260,180,93.011031
4.01,952,2.24,15,260,130,93.633706
4,945,0,15,240,220,89.718713
4,943,0,25,235,200,89.748524
4,943,2.56,25,245,180,88.046476
4,951,2.56,25,245,180,90.83163
4.01,946,2.48,10,260,190,93.766576
4,948,2.56,20,280,180,93.83163
4,949,2.46,20,230,180,92.313939
4,946,2.6,15,250,210,89.100874
3.995,949,2.58,15,270,170,92.57807
4.01,948,2.54,25,265,190,93.156254
4,950,2.62,10,240,160,90.999655
4.03,953,2.34,8,275,220,93.927475
4.01,951,0,15,260,170,95.649313
4,955,2.72,25,255,190,91.099082
4,949,2.3,25,245,200,92.236059
4,948,2.54,10,260,210,95.076879
4,945,2.5,15,250,210,89.566185
4,950,2.5,20,250,200,91.432911
4,953,2.3,15,250,180,91.059318
4.01,943,2.54,15,250,220,93.030526
4,949,2.62,25,230,170,92.413186
4.01,950,2.56,10,260,200,95.698005
4.01,945,2.58,15,250,210,95.111909
4,943,2.48,15,260,170,94.099082
4,947,2.56,15,235,190,89.924138
4.01,950,2.48,10,265,210,95.975829
4,949,2.56,10,230,170,90.705245
4.01,945,2.56,10,255,180,94.232389
4,948,2.64,25,240,190,92.725918
4,949,2.62,25,260,160,92.192903
4,952,2.68,28,255,190,90.156254
4,947,2.58,20,245,180,90.214871
4.025,956,2.6,14,270,200,94.792636
4,953,2.3,0,250,170,94.562066
4,946,2.58,20,240,200,89.986944
4,943,0,25,235,160,89.969683
4,953,2.64,25,255,190,91.940172
4,948,2.5,15,235,200,88.104169
4.005,954,2.62,20,250,180,92.145093
4,948,2.6,20,260,200,88.019347
4,940,2.38,5,235,180,88.788407
4.01,938,2.52,0,265,190,95.886207
4,951,2.56,25,250,200,92.823748
4,956,2.64,25,260,190,92.90781
4,944,2.6,15,260,210,89.490706
4,950,2.7,15,245,210,88.615786
4,955,2.56,20,250,180,92.451891
4.01,952,2.46,10,250,220,94.059318
4,952,2.66,25,230,150,92.238724
4.004,955,2.52,15,240,150,90.386691
4,951,2.5,10,265,190,93.214495
4,947,2.26,5,230,160,88.778086
4,947,2.6,20,250,170,90.087323
4,948,2.48,20,250,230,89.943094
4,945,2.26,5,230,190,88.007827
4,943,2.72,25,240,220,89.981446
4,952,2.58,25,240,200,90.721609
4,947,2.58,20,240,200,88.96734
4,947,2.56,20,230,200,88.529792
4,949,2.5,20,250,220,88.55442
4,939,2.42,0,250,150,95.725918
4,946,2.52,20,240,160,91.520105
4,948,2.3,0,240,190,89.293448
4,945,2.48,20,260,180,90.011741
4,950,2.54,25,255,190,91.182611
4,953,2.62,25,240,180,90.766576
4.005,946,2.48,15,260,190,94.594826
4,947,2.74,25,235,210,88.706212
4,955,2.46,25,245,180,90.429661
4,948,2.5,20,250,200,89.384586
4,949,2.56,25,250,190,91.286713
4.01,941,2.52,15,230,180,88.666437
4,942,0,15,240,220,89.542626
4,947,2.64,25,230,210,89.707582
4.01,935,2.52,0,270,190,94.451011
4,952,2.54,20,240,220,89.696561
4,947,2.1,0,245,190,95.138062
4.01,950,2.56,10,255,150,95.637548
4,947,2.6,25,245,200,89.817278
4.01,945,2.6,20,245,230,89.44859
4.025,955,2.34,12,275,180,93.02902
4,948,2.52,25,260,180,90.133472
4,949,2.64,25,265,180,90.502167
4,941,2.42,0,250,200,95.550935
4,948,2.58,20,255,180,92.561372
4,949,2.66,25,255,200,90.536964
4.01,952,2.54,15,260,190,94.504192
4.01,949,2.5,10,265,180,95.167071
4.01,947,2.5,10,265,210,93.313472
4,946,2.64,20,255,200,89.978234
4,955,2.58,20,270,190,90.824862
4,956,2.62,25,250,190,92.622787
4,940,2.54,20,245,190,88.925916
4,947,2.46,20,240,220,88.208981
4,945,2.42,5,250,140,93.260214
4.01,949,2.54,20,250,210,93.92368
4,947,2.52,15,240,210,88.470163
4,949,2.5,20,260,190,90.013457
4.007,955,2.6,14,270,220,94.461699
4,944,2.5,20,235,200,88.993608
4,950,2.72,25,230,190,92.756443
4,955,2.58,25,245,200,92.637548
3.998,947,2.58,15,270,180,95.349277
4,948,2.5,10,250,210,88.770378
4.01,951,2.24,10,280,190,95.972168
4,941,2.52,20,250,190,89.890666
4,946,2.5,20,240,220,88.02331
4,948,2.3,20,240,220,89.634594
4,946,2.42,10,230,200,89.700623
4,950,2.5,20,250,190,90.011031
4.015,949,2.6,10,270,200,94.580098
4.01,954,2.48,15,260,210,93.141798
4.01,953,2.62,20,250,200,92.972168
4.01,952,2.56,20,245,220,89.274835
4,941,2.5,15,235,130,92.558482
4.01,951,2.48,10,260,180,93.721609
4,950,2.52,15,245,210,88.340583
4,950,2.54,25,235,180,92.349277
4,947,2.56,20,230,180,89.928974
4,951,2.66,20,240,220,89.9439
4.01,950,2.54,15,260,190,95.544842
4,950,2.52,20,245,200,90.927475
4,953,0,20,250,170,90.260214
4,954,2.46,25,240,210,92.138062
4,950,2.56,0,240,160,95.823748
3.995,949,2.64,20,255,220,89.552625
4,941,2.52,0,240,180,89.00367
4,950,2.56,15,260,180,91.640219
4,939,2.52,15,245,200,88.286441
4,949,2.6,20,260,200,92.111909
4.01,950,2.48,10,260,200,94.505505
4.01,943,2.48,15,250,210,95.756443
4,941,2.48,15,255,190,88.334778
4,945,2.54,25,225,200,88.088981
4.002,955,2.6,14,270,220,95.91585
4,953,2.7,20,245,200,92.103117
4,947,2.6,15,260,210,89.882498
4,949,2.56,25,230,160,90.652711
4,943,2.72,25,240,220,88.821592
4,953,2.68,28,250,180,90.794687
4.01,950,2.62,15,250,220,93.069714
4,952,2.52,20,250,190,91.821865
4,948,2.5,0,235,180,88.618316
4.01,948,2.56,10,250,180,93.042709
4,947,2.54,15,250,180,91.461699
4,951,2.66,25,245,190,90.02902
4,943,2.6,25,245,210,89.534884
4,953,2.64,25,250,210,92.302326
4,952,2.5,20,240,190,91.16713
4.025,956,2.34,10,280,200,94.155568
4,955,2.56,25,260,180,90.510875
4,952,2.56,25,255,180,90.439805
4,952,2.7,20,240,210,88.677539
4,952,2.62,25,250,160,91.505505
4,949,2.54,25,240,210,89.225162
4,945,2.54,20,230,210,89.063217
4.01,954,2.52,15,245,180,92.328937
4,947,2.58,10,265,150,95.358127
4,939,2.48,15,240,210,88.645536
4,950,2.5,10,265,210,95.451891
4.025,955,2.34,12,280,170,93.999655
4,944,2.58,10,265,200,95.980416
4,951,2.72,25,250,180,91.562066
4,945,2.42,5,260,180,93.133472
4,947,2.64,25,245,210,89.766209
4.025,957,2.6,14,265,210,93.429661
4,951,2.1,10,230,180,92.597238
4.01,939,2.46,10,265,210,95.90781
4,949,2.54,5,250,200,95.57807
4.01,944,2.56,10,245,200,94.875439
4.01,943,2.48,15,260,200,93.034965
4,947,2.62,20,245,210,89.425375
4,939,2.42,0,260,200,94.432911
4.01,949,2.46,10,260,190,94.016309
4,951,2.62,15,255,190,91.912252
4,951,2.58,20,275,180,93.652711
4,948,2.56,15,270,200,93.386691
4.01,955,2.56,20,250,180,92.914641
4.01,949,2.6,20,245,220,89.677781
4,947,2.52,15,240,200,89.041378
4.01,944,2.48,15,260,200,95.622787
4,942,2.48,15,260,200,89.837628
4,949,2.5,10,265,210,93.249187
4,947,2.58,20,260,200,88.481073
4.01,950,2.46,10,265,180,94.837743
4,956,2.58,25,240,190,92.836
4.01,947,2.4,15,250,200,94.520105
4.01,948,2.46,10,265,170,95.563462
4.01,948,2.48,10,250,190,95.032062
4,950,2.6,15,255,220,89.461936
4,952,2.64,25,260,200,92.91585
4,949,2.5,20,245,210,89.708974
3.995,944,2.52,15,260,210,88.974466
4,954,2.72,28,255,200,92.678451
4,954,2.54,15,250,190,91.045261
4,948,2.56,20,230,180,92.563462
4.01,950,2.52,10,245,170,94.32428
4.01,946,2.52,20,270,210,94.829645
4,955,2.58,15,240,180,90.141798
4,946,2.62,25,245,190,89.957149
4.01,938,2.46,10,265,230,93.824862
4.01,949,2.48,10,245,200,95.561372
4,946,2.58,15,250,200,89.250293
4.005,954,2.6,14,260,150,92.886207
4,946,2.54,25,240,210,88.257794
4,952,2.58,25,240,150,92.698005
4,950,2.52,20,235,170,91.594826
4,950,2.56,25,245,190,92.734405
4,951,2.72,25,250,190,90.892705
4.01,952,2.5,15,245,200,95.893461
4,949,2.1,0,235,180,89.466304
4,947,2.52,20,245,190,89.705655
4,948,2.5,20,245,220,89.407939
4,947,2.58,20,240,210,88.357976
4.01,945,2.48,15,250,220,93.968303
4,943,2.62,10,240,220,88.924176
4,944,2.54,20,240,200,88.422471
4,952,2.64,25,235,150,91.792636
4,947,2.62,25,260,190,91.388873
4.01,951,2.6,10,270,180,95.967351
3.995,953,2.5,20,240,210,92.954525
4.01,954,2.5,20,255,190,95.935723
4.01,952,2.52,15,245,200,94.386264
3.995,949,2.46,20,250,180,92.358127
3.995,953,2.64,20,250,200,92.935723
4.01,947,2.5,10,265,190,95.328937
4,945,2.42,10,235,180,88.008971
4,945,2.62,25,230,170,91.829645
4,952,2.52,20,250,180,92.967351
4,943,2.64,10,260,170,94.061559
4,942,2.48,15,260,200,88.732721
4,947,2.5,10,250,160,91.580098
4.01,946,2.46,10,250,190,95.836
4,950,2.62,25,250,210,89.430062
4,948,2.52,20,235,190,88.143247
4,951,2.64,25,235,160,90.40182
4,950,2.66,25,250,190,90.042709
4,955,2.56,20,250,210,91.504192
4,950,2.5,20,260,210,89.013403
4,954,2.68,10,235,150,91.386264
4,953,2.6,14,265,200,93.536964
4,947,2.56,20,260,190,90.968303
4,947,2.56,15,250,190,89.758365
4.019,949,2.6,10,265,230,93.214871
4,950,2.46,15,240,160,91.651311
4.03,954,2.44,8,265,210,93.439805
4,947,2.38,15,235,180,88.882854
4,952,2.66,25,260,190,90.313472
4,944,2.58,15,245,200,89.195091
4.01,951,2.46,15,265,210,95.238724
4,949,2.3,20,240,190,90.030526
4,952,2.54,25,235,150,91.155568
4,954,2.62,20,250,190,92.199456
4,940,2.48,20,260,180,89.731492
4,954,2.6,14,265,200,95.516671
4,951,2.54,20,245,210,89.053399
4,951,2.56,25,250,190,90.92368
4,945,2.26,5,230,190,89.572085
4.01,944,2.48,10,270,190,94.640219
4,947,2.64,25,245,210,89.09348
4.01,954,2.4,15,250,200,95.103117
4,948,2.58,25,245,160,90.249187
4,946,2.5,20,265,190,88.142997
3.995,952,2.5,25,245,200,92.167071
4,950,2.3,20,245,210,89.608791
4.01,957,2.5,15,260,190,93.40182
4.01,947,2.56,0,265,220,93.087323
4.01,947,2.46,10,270,200,94.388873
4.01,948,2.56,10,260,200,95.914641
4.01,950,2.46,15,265,200,95.597238
4.002,945,2.62,5,240,200,89.444714
4,948,2.56,15,235,200,88.020351
4,951,2.56,20,240,220,88.028473
4,947,2.54,20,240,210,88.955274
4,954,2.62,25,250,200,91.061559
4,944,2.42,15,250,190,89.214576
3.995,952,2.58,20,265,210,91.875439
4,953,2.62,25,245,200,92.975829
4,946,2.64,25,250,210,88.166125
4,946,2.54,20,240,220,88.69684
4.01,946,2.54,15,260,190,94.490411
4,954,2.56,15,265,200,94.182611
4,948,2.58,15,260,210,89.492483
4,949,2.62,15,235,180,91.232389
4.01,949,2.46,0,285,210,95.172885
3.995,949,2.64,40,240,170,92.172885
4,953,2.62,25,230,170,90.069714
4,949,2.54,25,250,190,90.633706
4,945,2.54,25,230,180,88.293203
4,947,2.56,15,230,180,88.435141
4.01,949,2.5,10,255,190,95.199456
4,950,2.62,20,240,170,90.034965
4,956,2.56,20,240,130,92.544842
4,951,2.54,25,240,200,91.490411
4.01,949,2.52,10,260,200,95.954525
4,944,2.56,25,220,210,89.219763
3.995,948,2.46,20,255,220,88.549908
4,940,2.5,20,245,210,88.058215
4.025,956,2.34,12,265,200,95.558482
4,953,2.48,20,245,220,89.822937
4,948,2.5,10,255,160,90.214495
4.01,952,2.48,15,255,210,95.313939
4,951,2.58,25,235,190,92.980416
4,948,2.62,25,245,190,92.550935
4,940,2.38,5,240,210,89.402078
4,947,2.52,20,245,200,89.354708
4.01,941,2.58,15,250,220,88.511051
4,949,2.56,15,250,180,92.516671
4.01,949,2.52,15,270,180,94.045261
4.01,946,2.4,20,250,220,89.002795
