@relation QueryResult-weka.filters.unsupervised.attribute.Remove-R1

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute jinrichulvzhishiliang numeric
@attribute dianliuxiaolv numeric
@attribute class {excellent,good,medium}

@data
4.007,949,2.62,23,260,160,1450,91.503998,excellent
4.028,949,2.58,7,260,200,1510,95.290001,good
4.03,951,2.48,7,260,180,1450,91.503998,medium
4.002,949,2.48,13,245,180,1450,91.503998,medium
3.995,951,2.62,18,255,190,1450,91.503998,good
4.018,950,2.46,7,240,160,1510,95.290001,excellent
4.061,956,2.6,15,270,200,1460,92.135002,good
3.979,952,2.64,18,235,150,1450,91.503998,medium
4.021,949,2.52,10,260,200,1450,91.503998,good
4.04,950,2.62,10,240,160,1510,95.290001,medium
4.002,950,2.56,5,255,150,1450,91.503998,good
4.003,947,2.58,13,260,200,1450,91.503998,good
4.002,952,2.54,20,235,150,1450,91.503998,medium
4.003,950,2.56,5,240,160,1450,91.503998,good
4.002,948,2.56,15,270,200,1450,91.503998,excellent
4.035,954,2.44,9,265,210,1430,90.241997,good
4.038,953,2.5,20,240,210,1450,91.503998,medium
4.086,944,2.48,10,270,190,1510,95.290001,medium
3.998,952,2.5,13,245,200,1450,91.503998,medium
4.008,947,2.5,7,265,210,1450,91.503998,medium
4.017,944,2.56,5,245,200,1510,95.290001,good
3.998,945,2.56,5,255,180,1450,91.503998,medium
4.098,955,2.52,10,240,150,1420,89.611,medium
3.996,946,2.6,9,250,210,1520,95.920998,medium
3.995,947,2.5,2,265,190,1510,95.290001,medium
4.026,951,2.46,7,265,210,1510,95.290001,good
4.008,949,2.5,7,255,190,1510,95.290001,medium
3.984,950,2.5,7,265,210,1450,91.503998,good
4,944,2.58,10,245,200,1510,95.290001,good
4.007,941,2.52,10,230,180,1450,91.503998,medium
4.009,954,2.6,9,265,200,1520,95.920998,good
4.026,949,2.6,6,270,200,1460,92.135002,medium
4.016,953,2.62,13,230,170,1450,91.503998,medium
3.999,948,2.5,7,250,210,1510,95.290001,medium
4.003,950,2.56,13,260,180,1450,91.503998,good
4.046,946,2.5,16,260,170,1450,91.503998,medium
4.009,952,2.58,23,265,210,1450,91.503998,good
3.995,949,2.62,7,235,180,1510,95.290001,medium
4.027,950,2.56,7,260,200,1510,95.290001,medium
4.01,957,2.5,13,260,190,1450,91.503998,medium
4.006,954,2.52,10,245,180,1510,95.290001,medium
4.009,949,2.5,10,265,210,1510,95.290001,medium
4.01,953,2.62,18,250,200,1420,89.611,medium
4.039,954,2.5,23,255,190,1450,91.503998,medium
4.039,947,2.54,9,250,180,1520,95.920998,medium
4.048,952,2.66,15,230,150,1450,91.503998,good
4.003,954,2.62,7,250,190,1510,95.290001,medium
4.011,949,2.5,5,265,180,1450,91.503998,medium
3.998,955,2.56,20,250,180,1510,95.290001,medium
4.041,949,2.56,18,250,180,1510,95.290001,medium
3.999,947,2.56,10,250,190,1450,91.503998,medium
4.041,957,2.6,19,265,210,1430,90.241997,good
4.007,947,2.5,5,250,160,1510,95.290001,medium
4.01,947,2.46,5,270,200,1450,91.503998,medium
3.999,947,2.6,9,260,210,1520,95.920998,good
4.009,947,2.52,13,270,170,1450,91.503998,good
3.992,951,2.5,5,265,190,1450,91.503998,good
4.04,949,2.52,15,270,180,1450,91.503998,good
4.072,949,2.46,5,260,190,1450,91.503998,medium
4,949,2.54,10,250,200,1520,95.920998,medium
4.002,948,2.56,1,260,200,1450,91.503998,good
4.024,950,2.46,10,265,200,1510,95.290001,good
4.019,950,2.46,10,265,180,1450,91.503998,medium
3.999,953,2.6,10,265,200,1460,92.135002,good
3.997,951,2.64,18,235,160,1510,95.290001,medium
4.031,948,2.58,18,245,160,1510,95.290001,medium
4.026,953,2.64,23,250,200,1510,95.290001,medium
4.074,948,2.46,3,265,170,1510,95.290001,medium
3.997,948,2.54,2,260,210,1450,91.503998,medium
4.005,952,2.48,10,255,210,1450,91.503998,good
3.99,946,2.54,18,240,210,1510,95.290001,medium
4.046,952,2.5,22,245,200,1510,95.290001,medium
4.012,947,2.58,9,270,180,1510,95.290001,good
3.996,954,2.62,13,250,180,1450,91.503998,medium
4.019,946,2.46,5,250,190,1450,91.503998,good
4.026,945,2.54,10,230,180,1510,95.290001,medium
4.019,955,2.46,20,245,180,1510,95.290001,medium
4.008,948,2.56,2,250,180,1510,95.290001,good
4.009,954,2.56,13,265,200,1450,91.503998,excellent
3.997,947,2.62,15,260,190,1450,91.503998,excellent
3.999,949,2.5,15,260,190,1510,95.290001,good
4.053,949,2.48,2,245,200,1510,95.290001,good
4,943,2.56,15,245,180,1510,95.290001,good
4.031,947,2.58,2,265,150,1510,95.290001,good
4.006,944,2.58,6,265,200,1450,91.503998,medium
3.992,948,2.5,5,255,160,1510,95.290001,good
3.991,947,2.64,15,245,210,1510,95.290001,medium
3.997,954,2.54,11,250,190,1460,92.135002,medium
3.995,953,2.66,23,260,200,1450,91.503998,good
4.02,952,2.34,9,270,200,1430,90.241997,medium
4.008,938,2.52,3,265,190,1510,95.290001,good
4.055,949,2.58,10,270,170,1450,91.503998,good
4.026,948,2.48,7,250,190,1510,95.290001,medium
4.008,946,2.58,10,250,200,1510,95.290001,good
4.014,951,2.1,5,230,180,1420,89.611,good
3.992,951,2.1,15,240,200,1450,91.503998,medium
3.989,949,2.66,20,255,200,1450,91.503998,good
4.032,950,2.52,7,245,170,1450,91.503998,good
3.998,949,2.56,13,230,160,1510,95.290001,good
4.003,948,2.56,13,230,180,1510,95.290001,good
4.006,952,2.52,15,245,200,1450,91.503998,good
4.017,950,2.48,10,260,200,1450,91.503998,medium
4.004,951,2.46,10,240,170,1510,95.290001,good
4.018,950,2.48,13,265,210,1450,91.503998,good
4.029,944,2.52,9,260,210,1480,93.397003,excellent
3.998,949,2.46,15,230,180,1450,91.503998,good
3.994,954,2.46,15,240,210,1450,91.503998,good
4.013,939,2.46,2,265,210,1510,95.290001,good
3.999,949,2.54,23,250,190,1450,91.503998,medium
3.996,950,2.54,23,235,180,1450,91.503998,medium
3.993,950,2.66,20,250,190,1450,91.503998,good
3.994,948,2.58,23,255,180,1450,91.503998,excellent
4.048,949,2.46,13,250,180,1450,91.503998,medium
3.993,948,2.58,11,260,210,1510,95.290001,good
4.042,951,2.58,13,235,190,1510,95.290001,medium
4.024,954,2.48,16,260,210,1450,91.503998,excellent
4.031,951,2.6,5,270,180,1520,95.920998,good
4.004,951,2.54,13,230,150,1450,91.503998,good
3.993,955,2.56,20,260,180,1450,91.503998,good
4.018,950,2.6,10,270,210,1520,95.920998,good
4.004,952,2.54,18,260,190,1450,91.503998,good
4.018,954,2.6,13,260,150,1520,95.920998,good
4.004,952,2.46,20,225,190,1450,91.503998,medium
3.994,949,2.62,20,230,170,1450,91.503998,good
4.006,946,2.48,5,260,190,1450,91.503998,good
3.991,951,2.66,18,250,180,1510,95.290001,good
4.011,950,2.54,15,260,190,1450,91.503998,medium
3.985,954,2.68,15,235,150,1450,91.503998,excellent
4.003,948,2.54,20,265,190,1450,91.503998,medium
4.016,951,2.54,20,245,210,1450,91.503998,medium
4.059,943,2.64,5,260,170,1510,95.290001,good
4.004,940,2.6,20,250,200,1510,95.290001,good
4.022,952,2.62,10,250,160,1510,95.290001,medium
3.985,953,2.62,20,245,200,1510,95.290001,medium
4.07,945,2.62,10,240,200,1450,91.503998,medium
4.084,950,2.62,18,250,210,1510,95.290001,medium
4.026,939,2.52,15,245,200,1510,95.290001,good
4.027,940,2.54,20,245,190,1450,91.503998,medium
4.004,945,2.42,7,235,180,1510,95.290001,medium
4.001,946,2.5,20,265,190,1450,91.503998,medium
3.994,940,2.48,20,260,180,1510,95.290001,medium
4.011,949,2.54,23,240,210,1510,95.290001,good
3.995,947,2.58,20,240,210,1450,91.503998,medium
4.009,947,2.56,15,230,180,1510,95.290001,medium
