@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4,951,2.56,25,250,200,0.897584
4,943,2.72,25,240,220,0.893846
4.01,955,2.56,20,250,180,0.886775
4,950,2.5,10,265,210,0.953289
4,947,2.54,15,250,180,0.912324
4.01,951,2.24,10,280,190,0.958935
4.01,951,2.48,10,260,180,0.951929
4,948,2.56,15,270,200,0.911556
4,947,2.62,25,260,190,0.894447
4.01,947,2.5,10,265,190,0.946402
4.01,950,2.62,15,250,220,0.929545
4.025,956,2.34,10,280,200,0.939997
4,949,2.56,15,250,180,0.923289
4.01,948,2.48,10,250,190,0.955635
4.01,944,2.56,10,245,200,0.934398
4,953,2.66,25,260,200,0.88143
4,943,2.64,10,260,170,0.90029
4,953,2.6,14,265,200,0.925167
4,949,2.62,25,260,160,0.894619
4,947,2.1,0,245,190,0.940453
4,945,2.54,25,230,180,0.881661
4,950,2.66,25,250,190,0.880285
4.025,955,2.34,12,275,180,0.930135
4,954,2.56,15,265,200,0.929357
4.01,949,2.48,10,245,180,0.937216
4.01,950,2.48,10,265,210,0.951381
4,948,2.5,10,250,210,0.916402
4,949,2.54,25,250,190,0.884225
4,948,2.58,25,245,160,0.896346
3.995,946,2.5,20,260,170,0.882932
4,946,2.54,25,240,210,0.890534
4,950,2.56,15,260,180,0.928935
4,944,2.58,15,245,200,0.903867
4,941,2.5,15,235,130,0.889242
4.01,938,2.52,0,265,190,0.93537
4,943,0,25,235,160,0.89929
4.025,957,2.6,14,265,210,0.945801
4.01,938,2.46,10,265,230,0.956375
4,948,2.58,20,255,180,0.897076
4.01,948,2.56,10,260,200,0.951671
4,952,2.56,25,255,180,0.885499
4.01,949,2.5,10,255,190,0.942324
4.007,955,2.6,14,270,220,0.933135
4.027,952,2.34,10,270,200,0.948377
3.995,944,2.52,15,260,210,0.929146
3.998,947,2.58,15,270,180,0.902492
4.005,954,2.62,20,250,180,0.882679
4,950,2.54,25,235,180,0.895662
4,948,2.3,20,240,220,0.896088
4.012,950,2.6,10,270,210,0.959804
4,952,2.58,25,240,200,0.884811
3.995,952,2.58,20,265,210,0.903135
4,947,2.46,20,240,220,0.886968
4,954,2.7,20,240,220,0.899839
4.01,950,2.46,10,265,180,0.934297
4.01,947,2.46,10,270,200,0.95698
4,954,2.54,15,250,190,0.913889
4,949,2.66,25,255,200,0.899431
4,952,2.64,25,235,150,0.891009
4,952,2.54,25,235,150,0.891951
4,946,2.58,0,265,210,0.949123
4,944,2.58,10,265,200,0.921451
4,951,2.66,25,245,190,0.884351
4,949,2.5,20,260,190,0.894301
4,947,2.56,20,230,180,0.88009
4.01,952,2.54,15,260,190,0.956493
3.995,953,2.64,20,250,200,0.896778
4.01,951,2.46,15,265,210,0.948754
4,949,2.1,0,235,180,0.906527
4.01,943,2.54,15,250,220,0.950321
4,955,2.56,25,260,180,0.883406
4.025,956,2.6,14,270,200,0.946513
4,950,2.56,0,240,160,0.909997
4,954,2.68,10,235,150,0.925635
4.01,951,0,15,260,170,0.955972
4.01,935,2.52,0,270,190,0.955614
4,947,2.58,10,265,150,0.921671
3.995,949,2.58,15,270,170,0.900135
4.025,957,2.58,12,265,130,0.955167
4.004,955,2.52,15,240,150,0.898825
4.01,952,2.56,20,245,220,0.899697
4.01,939,2.46,10,265,210,0.936337
4,951,2.1,20,240,200,0.897187
4,952,2.58,25,240,150,0.894925
4.01,952,2.5,15,245,200,0.926375
3.995,948,2.46,20,255,220,0.889745
4,948,2.54,10,260,210,0.92698
4,946,2.58,15,250,200,0.902145
4.01,950,2.56,10,255,150,0.959545
4,950,2.62,10,240,160,0.916513
4.03,954,2.44,8,265,210,0.958237
