@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4,949,2.62,25,260,160,0.894619
4,952,2.58,25,240,200,0.884811
4,950,2.46,15,240,160,0.892748
4,952,2.64,25,235,150,0.891009
4,952,2.54,25,235,150,0.891951
3.995,953,2.5,20,240,210,0.886664
4,955,2.58,25,245,200,0.887704
4,951,2.56,25,250,200,0.897584
4.004,955,2.52,15,240,150,0.898825
4,952,2.56,25,255,180,0.885499
4,953,2.62,25,230,170,0.882578
3.995,946,2.5,20,260,170,0.882932
4,952,2.66,25,260,190,0.880465
4,949,2.62,15,235,180,0.890935
4,943,0,25,235,160,0.89929
4.01,953,2.62,20,250,200,0.88209
4.01,954,2.5,20,255,190,0.892503
4,952,2.66,25,230,150,0.888216
4,954,2.62,20,250,190,0.895526
3.995,948,2.46,20,255,220,0.889745
4,952,2.58,25,240,150,0.894925
4,951,2.64,25,235,160,0.894663
4,948,2.58,25,245,160,0.896346
3.995,953,2.64,20,250,200,0.896778
4,946,2.54,25,240,210,0.890534
3.995,952,2.5,25,245,200,0.897987
4.005,954,2.62,20,250,180,0.882679
4,945,2.54,25,230,180,0.881661
4,947,2.62,25,260,190,0.894447
4,949,2.5,20,260,190,0.894301
4,943,2.56,25,245,180,0.882864
4,947,2.64,25,245,210,0.889259
4,947,2.56,20,230,180,0.88009
4,953,2.66,25,260,200,0.88143
4,947,2.46,20,240,220,0.886968
4.01,955,2.56,20,250,180,0.886775
4,943,2.72,25,240,220,0.892252
4,948,2.56,20,230,180,0.88358
4,951,2.66,25,245,190,0.884351
4,951,2.46,15,240,170,0.89709
3.995,949,2.64,20,255,220,0.880193
4,943,2.72,25,240,220,0.893846

4,949,2.54,25,250,190,0.884225
4,950,2.54,25,235,180,0.895662
4,956,2.58,25,240,190,0.898907
4,950,2.66,25,250,190,0.880285
4,950,2.54,25,255,190,0.887884
4,948,2.58,20,255,180,0.897076
3.995,949,2.46,20,250,180,0.895721
4,951,2.58,25,235,190,0.899869
4.01,951,2.54,15,230,150,0.897662
4,955,2.56,25,260,180,0.883406

4,951,2.66,25,250,180,0.893547
4,948,2.3,20,240,220,0.896088
4.01,949,2.6,20,245,220,0.888829
4,941,2.5,15,235,130,0.889242
4.01,948,2.54,25,265,190,0.897057
4,951,2.54,20,245,210,0.890037
4,954,2.7,20,240,220,0.899839
4,940,2.6,20,250,200,0.899385
