@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4,949,2.58,15,260,200,0.921929
4,951,2.62,15,255,190,0.907216
4,950,2.6,15,255,220,0.919123
4,950,2.62,10,240,160,0.916513
4,955,2.56,20,250,180,0.899814
4,947,2.58,20,260,200,0.917926
4,950,2.56,0,240,160,0.909997
4,951,2.1,20,240,200,0.897187
4,948,2.56,15,270,200,0.911556
4.01,950,2.62,15,250,220,0.929545
4.01,952,2.5,15,245,200,0.926375
4,955,2.58,20,270,190,0.928237
4,946,2.6,15,250,210,0.908249
4,944,2.58,15,245,200,0.903867
4.01,941,2.52,15,230,180,0.904398
4,954,2.6,14,265,200,0.900697
4.01,945,2.56,10,255,180,0.930697
4,948,2.5,10,250,210,0.916402
4,950,2.56,15,260,180,0.928935
3.995,952,2.58,20,265,210,0.903135
4.01,954,2.52,15,245,180,0.918754
4,947,2.54,15,250,180,0.912324

4,947,2.5,10,250,160,0.914617
4.01,952,2.56,20,245,220,0.899697
4,947,2.6,15,260,210,0.922387
4,949,2.56,25,230,160,0.897315
4,951,2.5,10,265,190,0.921995
4.01,950,2.52,10,245,170,0.93029
4,949,2.54,5,250,200,0.924519
4,953,2.6,14,265,200,0.925167

4,949,2.46,20,230,180,0.895426
4,954,2.46,25,240,210,0.894254

4.01,952,2.24,15,260,130,0.904018
3.998,947,2.58,15,270,180,0.902492
4,954,2.56,15,265,200,0.929357
4,947,2.58,10,265,150,0.921671
4,949,2.66,25,255,200,0.899431
4,949,2.5,20,260,190,0.894301
4,944,2.58,10,265,200,0.921451

4,952,2.46,20,225,190,0.899241
4.007,955,2.6,14,270,220,0.933135
4,949,2.62,25,230,170,0.894486
4,948,2.5,10,255,160,0.904297
4,948,2.54,10,260,210,0.92698
4,954,2.54,15,250,190,0.913889
3.995,949,2.58,15,270,170,0.900135
4,946,2.58,15,250,200,0.902145
4,954,2.7,20,240,220,0.899839
4,955,2.46,25,245,180,0.899571
4,948,2.58,10,265,140,0.910163
4.01,952,2.52,15,245,200,0.925781
4,950,2.54,25,235,180,0.895662
3.995,944,2.52,15,260,210,0.929146
4,948,2.58,15,260,210,0.925972
4.002,955,2.6,14,270,220,0.918377
4,954,2.62,20,250,190,0.895526

4,949,2.1,0,235,180,0.906527
4,954,2.68,10,235,150,0.925635
4,943,2.64,10,260,170,0.90029
4.01,949,2.52,15,270,180,0.932492




