@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4.01,951,2.48,10,260,180,0.951929
4.01,949,2.48,10,245,180,0.937216
4,946,2.58,0,265,210,0.949123
4.025,956,2.6,14,270,200,0.946513
4.025,955,2.34,12,280,170,0.947926
4.025,956,2.34,10,280,200,0.939997
4.01,949,2.52,10,260,200,0.941556
4.01,950,2.56,10,255,150,0.959545
4.01,938,2.46,10,265,230,0.956375
4.03,954,2.44,8,265,210,0.958237
4.01,944,2.48,10,270,190,0.938249
4.01,947,2.5,10,265,210,0.933867
4.01,944,2.56,10,245,200,0.934398
4.01,945,2.56,10,255,180,0.930697
4.01,947,2.5,10,265,190,0.946402
4.01,951,2.24,10,280,190,0.958935
4.007,955,2.6,14,270,220,0.933135
4.01,951,2.46,15,265,210,0.948754
4.01,949,2.5,10,255,190,0.942324
4,950,2.5,10,265,210,0.953289
4.015,949,2.6,10,270,200,0.959722
4.01,950,2.56,10,260,200,0.944617
4.01,957,2.5,15,260,190,0.952387
4,949,2.5,10,265,210,0.951995
4.01,949,2.5,10,265,180,0.954519
4.025,957,2.58,12,265,130,0.955167
4.025,957,2.6,14,265,210,0.945801
4.01,947,2.46,10,270,200,0.95698
4.01,947,2.52,15,270,170,0.934018
4.01,949,2.52,15,270,180,0.932492
4.01,949,2.46,10,260,190,0.959357
4.01,948,2.56,10,260,200,0.951671
4.01,950,2.46,15,265,200,0.951451
4.01,950,2.46,10,265,180,0.934297
4.01,948,2.46,10,265,170,0.943889
4.025,955,2.34,12,275,180,0.930135
4.01,952,2.48,15,255,210,0.932145
4,947,2.1,0,245,190,0.940453
4.01,946,2.46,10,250,190,0.940163
4.01,948,2.56,10,250,180,0.955781
4.01,949,2.48,10,245,200,0.959146
4.01,951,0,15,260,170,0.955972
4.027,952,2.34,10,270,200,0.948377
4.01,938,2.52,0,265,190,0.93537
4.01,949,2.46,0,285,210,0.936527
4.01,948,2.48,10,250,190,0.955635
4.01,950,2.52,10,245,170,0.93029
4.025,956,2.34,12,265,200,0.950769
4.01,950,2.48,10,260,200,0.953139
4.01,950,2.48,10,265,210,0.951381
4.01,939,2.46,10,265,210,0.936337
4.01,952,2.46,10,250,220,0.953493
4.01,954,2.48,15,260,210,0.95836
4.019,949,2.6,10,265,230,0.930427
4.01,947,2.56,0,265,220,0.941826
4.01,935,2.52,0,270,190,0.955614
4.01,951,2.6,10,270,180,0.953581
4.012,950,2.6,10,270,210,0.959804
4.01,952,2.54,15,260,190,0.956493
4.01,946,2.48,10,260,190,0.935109
4.03,953,2.34,8,275,220,0.958862
4.01,950,2.54,15,260,190,0.951729
4.01,943,2.54,15,250,220,0.950321
